Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
19-Dec-14,"3,178","2,225",35,83,"2,589","1,446","1,137",69,56,51,52,48,50,54,55,53,76,85,53,189,96,51,45,54,"4,223",299,369,261,298,251,265,252,258,330,249,275,274,281,278,283,"4,298",0,"1,173",995,"1,237",893,9,3,3,3,0,0,"19,223"
20-Dec-14,"3,178","2,222",35,81,"2,588","1,435","1,134",69,56,51,52,48,50,54,55,53,76,85,51,189,96,51,44,54,"4,217",298,369,260,298,250,265,252,257,330,249,274,274,280,278,283,"4,294",0,"1,171",994,"1,236",893,9,3,3,3,0,0,"19,204"
21-Dec-14,"3,176","2,221",35,80,"2,588","1,446","1,134",69,56,51,52,48,50,54,55,53,76,85,51,189,96,51,44,54,"4,213",298,368,260,298,250,265,251,256,330,248,274,274,280,278,283,"4,292",0,"1,170",993,"1,236",893,8,3,2,3,0,0,"19,193"
22-Dec-14,"3,177","2,267",35,79,"2,583","1,426","1,128",68,56,51,52,49,47,53,55,53,76,84,52,188,95,51,44,54,"4,211",297,368,261,297,248,265,251,257,329,250,271,274,282,278,283,"4,290",0,"1,170",993,"1,236",891,7,3,1,3,,,"19,203"
23-Dec-14,"3,195","2,186",35,103,"2,593","1,435","1,125",65,54,50,51,49,47,53,55,51,76,88,51,188,94,51,47,55,"4,227",300,363,267,300,256,262,254,258,330,249,274,274,281,276,283,"4,300",0,"1,171",998,"1,241",890,7,3,1,3,0,0,"19,206"
24-Dec-14,"3,208","2,136",34,126,"2,624","1,454","1,131",65,54,50,51,49,46,53,55,54,76,87,51,188,100,50,47,55,"4,219",300,359,266,300,256,260,255,258,330,250,270,274,281,277,283,"4,288",0,"1,159",997,"1,248",884,7,3,1,3,0,0,"19,227"
25-Dec-14,"3,207","2,134",34,124,"2,622","1,459","1,130",65,54,49,51,49,47,53,55,54,76,87,51,188,100,50,46,55,"4,211",300,358,266,300,256,260,255,258,330,249,270,274,276,276,283,"4,287",0,"1,159",997,"1,247",884,7,3,1,3,0,0,"19,215"
26-Dec-14,"3,206","2,135",34,121,"2,620","1,454","1,129",64,54,49,51,49,47,53,55,54,76,87,51,188,100,50,46,55,"4,206",300,357,266,300,256,260,254,258,330,249,270,274,277,274,281,"4,286",0,"1,159",996,"1,247",884,7,3,1,3,0,0,"19,198"
27-Dec-14,"3,206","2,134",34,121,"2,618","1,454","1,129",64,54,49,51,49,47,53,55,54,76,87,51,188,100,50,46,55,"4,202",298,356,266,300,255,260,254,258,330,249,270,274,277,274,281,"4,285",0,"1,159",996,"1,247",883,7,3,1,3,0,0,"19,190"
