date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,767","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,193"
19-Apr-09,"4,116","3,520","3,108","1,689","1,657",85,97,81,88,87,94,95,92,95,80,73,70,251,93,100,88,88,"2,923",277,264,265,266,261,266,265,263,265,266,265,"5,476",954,"1,363",981,"1,203",975,12,6,3,3,6,28,"22,535"
20-Apr-09,"4,126","3,529","3,107","1,663","1,660",85,97,81,89,88,95,91,92,97,80,73,70,252,96,97,88,89,"2,927",279,265,265,266,259,266,265,266,265,266,265,"5,482",952,"1,363",982,"1,208",977,12,6,3,3,6,9,"22,521"
21-Apr-09,"4,117","3,538","3,107","1,646","1,653",85,97,80,89,89,93,91,90,94,79,73,71,252,95,97,88,90,"2,927",281,265,265,266,260,266,264,265,266,264,265,"5,489",953,"1,362",981,"1,217",976,12,6,3,3,6,12,"22,507"
22-Apr-09,"4,113","3,515","3,112","1,672","1,652",85,97,80,90,89,92,91,89,94,78,73,70,253,97,96,87,91,"2,931",281,266,266,266,260,265,266,265,266,266,264,"5,496",957,"1,362",983,"1,219",975,13,6,4,3,6,13,"22,523"
23-Apr-09,"4,112","3,489","3,120","1,738","1,649",84,97,80,90,89,92,91,90,92,77,73,70,253,96,96,86,93,"2,917",281,266,266,266,260,261,263,267,266,266,255,"5,498",956,"1,361",979,"1,226",976,12,6,4,2,6,8,"22,549"
24-Apr-09,"4,126","3,453","3,093","1,762","1,639",84,93,78,88,88,91,92,86,96,77,72,69,250,97,95,86,97,"2,929",280,264,266,266,260,265,266,266,265,266,265,"5,493",952,"1,360",983,"1,223",975,11,5,4,2,6,27,"22,539"
25-Apr-09,"4,123","3,454","3,092","1,762","1,633",83,93,78,88,88,90,92,86,96,77,71,68,250,97,95,84,97,"2,928",279,264,266,266,260,265,266,266,265,266,265,"5,493",952,"1,360",983,"1,223",975,11,5,4,2,6,30,"22,532"
26-Apr-09,"4,120","3,452","3,090","1,762","1,633",83,93,78,88,88,90,92,86,96,77,71,69,249,97,95,84,97,"2,926",279,264,266,266,259,265,266,265,265,266,265,"5,489",952,"1,357",983,"1,222",975,11,5,4,2,6,31,"22,520"
27-Apr-09,"4,115","3,450","3,092","1,764","1,647",83,96,79,90,89,87,94,90,96,77,71,69,252,97,96,84,97,"2,922",279,263,266,266,259,265,266,264,265,265,264,"5,487",951,"1,357",983,"1,222",974,12,6,4,2,6,12,"22,507"
