date_raw,MS STATE PENITENTIARY  (capacity decreased by 80 7/27),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,692","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,827"
11-Jul-01,"5,244","3,018","1,933","1,454","1,273",74,74,75,71,73,75,74,74,75,74,67,60,112,74,75,73,73,"2,027",206,201,200,195,211,224,199,196,197,198,"3,463",842,497,867,388,869,17,5,11,1,6,"18,435"
12-Jul-01,"5,277","3,000","1,931","1,450","1,273",74,74,75,70,73,75,74,74,75,74,66,58,114,74,75,73,75,"2,026",206,201,200,194,211,224,199,196,197,198,"3,460",842,497,867,388,866,17,5,11,1,6,"18,440"
13-Jul-01,"5,268","3,004","1,932","1,460","1,197",67,70,74,70,72,69,71,67,72,71,65,56,110,55,68,74,66,"2,026",206,201,200,193,211,226,199,195,197,198,"3,457",841,497,866,388,865,18,6,11,1,5,"18,367"
14-Jul-01,"5,277","3,005","1,932","1,459","1,186",67,70,74,70,72,69,71,67,72,71,64,56,110,55,58,74,66,"2,025",206,201,200,193,211,225,199,195,197,198,"3,457",841,497,866,388,865,18,6,11,1,5,"18,364"
15-Jul-01,"5,275","3,006","1,931","1,459","1,186",67,70,74,70,72,69,71,67,72,71,64,56,110,55,58,74,66,"2,024",206,201,200,193,211,224,199,195,197,198,"3,456",841,496,866,388,865,18,6,11,1,5,"18,360"
16-Jul-01,"5,263","3,015","1,966","1,430","1,256",73,73,75,71,72,73,75,72,75,74,64,57,113,75,65,74,75,"2,019",206,201,199,192,210,224,198,194,197,198,"3,456",841,496,866,388,865,18,6,11,1,6,"18,429"
17-Jul-01,"5,293","3,002","1,964","1,430","1,261",74,73,75,69,72,72,75,72,75,73,64,57,113,75,74,73,75,"2,012",206,200,199,192,210,220,198,193,196,198,"3,447",839,495,863,387,863,18,6,11,1,6,"18,433"
18-Jul-01,"5,284","3,001","1,962","1,457","1,259",74,72,75,69,72,72,75,72,75,72,64,57,113,75,74,73,75,"2,011",207,200,199,191,210,220,198,193,196,197,"3,446",836,494,863,390,863,18,6,11,1,6,"18,444"
19-Jul-01,"5,275","2,981","1,992","1,473","1,258",74,73,75,69,70,72,75,72,75,72,65,57,113,75,73,73,75,"2,011",207,200,199,191,210,220,198,193,196,197,"3,443",838,494,861,390,860,18,6,11,1,6,"18,457"
20-Jul-01,"5,294","2,973","1,980","1,462","1,232",67,69,75,69,69,72,73,70,70,71,68,57,110,74,73,72,73,"2,025",210,199,200,190,212,219,200,200,196,199,"3,446",837,499,861,390,859,18,6,11,1,5,"18,435"
