date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,832","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,641"
19-Feb-13,"3,331","3,162",24,"3,225","2,213","1,532",91,77,71,77,78,77,82,77,80,80,91,81,246,92,78,70,84,"4,362",298,368,277,300,276,279,274,280,340,277,278,279,261,276,299,"4,302",0,"1,124",999,"1,274",905,26,5,6,4,0,11,"22,177"
20-Feb-13,"3,333","3,185",24,"3,242","2,198","1,529",89,77,69,76,78,76,82,76,80,80,91,81,246,96,78,70,84,"4,366",298,367,278,300,280,280,274,279,339,279,280,279,255,278,300,"4,305",0,"1,125",999,"1,277",904,21,5,4,4,0,8,"22,203"
21-Feb-13,"3,326","3,185",24,"3,242","2,228","1,531",90,74,70,77,81,73,82,77,80,76,92,85,245,96,78,68,87,"4,364",298,370,279,300,279,280,274,279,340,278,279,278,253,277,300,"4,300",0,"1,124",998,"1,274",904,12,5,3,4,0,0,"22,212"
22-Feb-13,"3,337","3,195",26,"3,236","2,225","1,530",92,73,69,75,77,72,80,76,83,72,92,89,249,98,76,72,85,"4,364",298,370,280,300,279,280,274,279,340,278,278,279,250,279,300,"4,291",0,"1,122",998,"1,269",902,41,4,3,4,0,30,"22,245"
23-Feb-13,"3,333","3,194",26,"3,236","2,225","1,529",92,73,68,75,78,72,80,76,83,72,92,89,249,98,76,71,85,"4,361",298,370,280,300,279,280,274,279,340,278,277,278,250,279,299,"4,289",0,"1,121",997,"1,269",902,40,4,3,4,0,29,"22,233"
24-Feb-13,"3,330","3,193",25,"3,233","2,225","1,528",92,73,68,75,78,72,80,76,83,72,92,89,249,98,75,71,85,"4,359",298,369,280,300,279,280,274,279,340,278,276,278,250,279,299,"4,286",0,"1,121",997,"1,267",901,41,4,3,4,0,30,"22,220"
25-Feb-13,"3,341","3,185",26,"3,230","2,229","1,554",92,79,72,76,81,73,79,75,84,76,93,89,251,99,77,71,87,"4,356",298,369,281,299,277,280,274,278,339,280,277,279,250,279,296,"4,296",0,"1,121",996,"1,276",903,20,4,3,4,0,9,"22,237"
26-Feb-13,"3,346","3,213",26,"3,228","2,224","1,549",92,79,75,76,81,70,73,75,83,75,93,88,250,99,78,76,86,"4,361",298,369,281,299,278,280,274,280,339,280,280,280,247,279,297,"4,296",0,"1,120",996,"1,273",907,22,4,3,4,0,11,"22,265"
27-Feb-13,"3,334","3,210",27,"3,228","2,246","1,550",92,78,75,76,81,70,73,83,83,75,91,88,249,97,78,74,87,"4,367",300,369,281,300,280,280,274,280,339,280,279,280,247,280,298,"4,301",0,"1,122",999,"1,273",907,22,4,5,4,0,9,"22,285"
