Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,395","1,786","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,116"
10-Nov-06,"4,524","3,375","2,240","1,823","1,685",83,96,88,98,94,96,91,95,99,82,85,85,211,94,99,95,94,"3,071",293,280,280,280,274,272,278,280,279,278,277,"4,858",968,871,995,128,945,951,12,5,5,2,5,96,"21,689"
11-Nov-06,"4,518","3,376","2,236","1,823","1,684",83,96,88,98,94,96,91,95,99,82,85,84,211,94,99,95,94,"3,071",293,280,280,280,274,272,278,280,279,278,277,"4,854",968,869,995,128,943,951,12,5,5,2,5,95,"21,674"
12-Nov-06,"4,519","3,374","2,235","1,823","1,685",83,96,88,98,94,96,91,95,99,82,85,84,211,95,99,95,94,"3,070",293,280,280,280,274,271,278,280,279,278,277,"4,852",968,868,995,128,943,950,12,5,5,2,5,94,"21,669"
13-Nov-06,"4,518","3,376","2,235","1,825","1,772",92,101,93,102,99,101,98,101,100,90,86,91,219,98,101,100,100,"3,069",292,280,280,280,274,271,278,280,279,278,277,"4,848",967,867,995,128,943,948,12,5,5,2,5,2,"21,662"
14-Nov-06,"4,491","3,370","2,250","1,813","1,777",92,102,93,102,101,100,102,101,97,89,85,91,220,101,101,100,100,"3,077",295,280,280,280,274,271,280,280,279,280,278,"4,857",969,865,995,128,944,956,12,5,5,2,5,2,"21,654"
15-Nov-06,"4,481","3,393","2,267","1,792","1,765",91,102,90,102,102,99,101,101,97,87,84,90,218,101,100,100,100,"3,071",291,280,280,279,274,273,280,280,276,280,278,"4,865",971,865,994,128,945,962,12,5,5,2,5,2,"21,653"
16-Nov-06,"4,503","3,384","2,268","1,780","1,770",91,102,93,101,101,100,98,101,102,87,84,89,218,101,99,101,102,"3,074",291,280,280,280,273,273,280,280,279,280,278,"4,858",971,865,994,128,938,962,12,5,5,2,5,2,"21,656"
17-Nov-06,"4,512","3,391","2,255","1,786","1,764",91,98,93,102,102,99,95,100,102,88,84,91,219,101,100,99,100,"3,076",294,280,277,280,273,274,280,281,279,280,278,"4,866",970,869,994,128,941,964,12,5,5,2,5,3,"21,670"
18-Nov-06,"4,503","3,389","2,256","1,786","1,764",90,98,93,102,102,99,95,100,102,89,84,91,219,101,100,99,100,"3,072",292,280,276,280,273,274,280,280,279,280,278,"4,861",967,869,994,128,941,962,12,5,5,2,5,1,"21,649"
