Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,543","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,236"
1-Jan-11,"3,265","3,249","3,178","1,612","1,520",76,81,73,82,75,81,90,78,99,90,79,74,198,94,87,84,79,"3,009",235,224,237,223,224,219,224,285,227,224,224,224,239,"5,238",901,"1,356",898,"1,198",885,8,4,3,1,5,6,"21,090"
2-Jan-11,"3,264","3,248","3,177","1,612","1,519",76,81,73,81,75,81,90,78,99,90,79,74,198,94,87,84,79,"3,007",235,223,237,223,224,219,224,284,227,224,224,224,239,"5,237",901,"1,356",897,"1,198",885,8,4,3,1,5,5,"21,082"
3-Jan-11,"3,262","3,246","3,176","1,612","1,517",76,81,73,81,75,81,90,77,98,90,79,74,198,94,87,84,79,"3,007",235,223,237,223,224,219,224,284,227,224,224,224,239,"5,237",901,"1,356",897,"1,198",885,8,4,3,1,5,8,"21,078"
4-Jan-11,"3,260","3,245","3,186","1,601","1,520",76,80,73,81,75,81,89,77,98,89,79,84,197,92,87,83,79,"3,005",235,223,237,223,224,219,224,283,228,224,222,223,240,"5,239",900,"1,357",897,"1,200",885,8,4,3,1,5,8,"21,077"
5-Jan-11,"3,268","3,246","3,177","1,570","1,509",74,80,72,81,75,79,89,77,98,89,79,84,192,92,86,83,79,"3,004",235,224,240,224,223,219,223,282,227,224,222,223,238,"5,237",901,"1,355",896,"1,200",885,8,4,3,1,5,6,"21,030"
6-Jan-11,"3,269","3,231","3,170","1,584","1,503",72,80,72,81,74,79,89,76,98,88,79,84,192,92,86,82,79,"3,009",235,224,240,223,223,219,226,282,226,223,224,222,242,"5,246",901,"1,364",895,"1,200",886,8,4,3,1,5,7,"21,032"
7-Jan-11,"3,274","3,214","3,172","1,556","1,445",64,77,65,79,67,79,83,69,98,83,77,82,192,85,85,82,78,"3,014",235,224,240,223,226,219,226,284,225,223,225,222,242,"5,222",907,"1,361",900,"1,168",886,8,4,3,1,5,7,"20,917"
8-Jan-11,"3,271","3,213","3,169","1,556","1,444",64,77,65,79,67,79,83,69,98,82,77,82,192,85,85,82,78,"3,011",235,224,240,223,225,219,226,284,225,222,224,222,242,"5,216",907,"1,360",900,"1,165",884,8,4,3,1,5,7,"20,900"
9-Jan-11,"3,269","3,210","3,168","1,556","1,446",64,77,65,80,67,79,84,69,98,82,77,82,192,85,85,82,78,"3,008",235,224,240,223,224,219,225,284,225,222,224,221,242,"5,216",907,"1,360",900,"1,165",884,8,4,3,1,5,7,"20,893"
