date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,858",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,199"
1-Dec-16,3354,"3,225",32,4,"3,020","1,248",871,0,0,64,77,50,0,0,38,11,72,69,86,50,148,2,16,48,12,65,63,0,"4,066",244,280,251,279,276,263,253,278,348,198,275,325,223,277,296,"3,057",0,"1,163",996,0,898,12,4,6,2,"18,889"
2-Dec-16,3354,"3,218",31,16,"3,016","1,249",893,0,0,64,77,48,0,0,48,11,69,74,85,50,157,2,16,48,17,65,62,0,"4,013",243,293,251,278,274,262,252,277,352,200,274,323,222,245,267,"3,061",0,"1,168","1,000",0,893,12,4,6,2,"18,863"
3-Dec-16,3353,"3,210",31,16,"3,015","1,251",891,0,0,64,77,48,0,0,47,11,69,74,85,50,157,2,16,47,17,65,62,0,"4,011",243,293,251,278,274,262,252,277,351,200,274,323,222,244,267,"3,060",0,"1,168","1,000",0,892,12,4,6,2,"18,850"
4-Dec-16,3351,"3,211",31,16,"3,012","1,251",891,0,0,64,77,48,0,0,47,11,69,74,85,50,157,2,16,47,17,65,62,0,"4,011",243,293,251,278,274,262,252,277,351,200,274,323,222,244,267,"3,059",0,"1,168",999,0,892,12,4,6,2,"18,845"
5-Dec-16,3353,"3,211",31,16,"3,051","1,261",893,0,0,65,77,48,0,0,45,10,69,74,86,49,157,2,16,46,14,68,67,0,"3,992",242,293,251,277,274,240,262,277,350,199,273,323,222,244,265,"3,061",0,"1,168",999,0,894,13,5,6,2,"18,882"
6-Dec-16,3332,"3,258",31,16,"3,048","1,255",891,0,0,64,76,47,0,0,45,10,73,74,86,47,157,2,16,46,15,68,65,0,"3,996",241,292,250,276,271,239,274,278,350,199,273,323,222,244,264,"3,061",0,"1,165",998,0,898,13,5,6,2,"18,901"
7-Dec-16,3348,"3,230",30,15,"3,048","1,278",888,0,0,62,76,47,0,0,44,9,72,73,85,47,155,2,16,45,15,75,65,0,"3,955",238,289,250,276,269,224,273,273,348,195,274,321,222,241,262,"3,065",0,"1,172",998,0,895,13,5,6,2,"18,870"
8-Dec-16,3354,"3,286",30,16,"3,048","1,251",885,0,0,62,76,47,0,0,43,9,72,72,85,47,155,2,15,45,15,75,65,0,"3,962",240,291,248,272,268,224,273,277,350,200,274,321,222,241,261,"3,062",0,"1,172",998,0,892,13,5,6,2,"18,907"
9-Dec-16,3365,"3,266",30,1,"3,060","1,266",920,0,0,62,76,47,0,0,58,9,71,72,84,49,155,2,27,53,15,75,65,0,"3,966",239,291,248,271,267,224,272,280,351,200,274,321,226,241,261,"3,067",0,"1,172","1,000",0,895,13,5,6,2,"18,954"
10-Dec-16,3364,"3,272",30,1,"3,060","1,266",919,0,0,62,76,47,0,0,58,9,71,72,84,49,155,2,27,53,15,75,64,0,"3,965",239,290,248,271,267,224,272,280,351,200,274,321,226,241,261,"3,066",0,"1,172",999,0,895,13,5,6,2,"18,956"
