date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
21-Sep-02,"5,289","2,906","2,066","1,880","1,254",66,68,73,70,68,68,72,69,74,69,72,67,138,68,68,72,72,"2,017",0,203,202,202,202,202,201,200,202,202,201,"3,807",410,715,991,699,992,13,4,8,1,5,"19,237"
22-Sep-02,"5,287","2,905","2,065","1,880","1,252",66,68,73,70,68,68,72,69,74,69,72,66,137,68,68,72,72,"2,016",0,203,202,201,202,202,201,200,202,202,201,"3,806",410,715,990,699,992,13,4,8,1,5,"19,229"
23-Sep-02,"5,285","2,918","2,064","1,860","1,295",72,70,74,73,74,73,75,74,75,72,71,70,140,69,69,71,73,"2,018",0,201,202,202,204,202,201,201,202,201,202,"3,816",410,715,993,706,992,13,4,8,1,5,"19,274"
24-Sep-02,"5,347","2,927","2,046","1,860","1,294",71,70,75,74,73,75,75,73,75,72,71,70,140,68,68,71,73,"2,016",0,201,201,202,203,202,201,202,202,200,202,"3,771",369,714,993,704,991,12,4,7,1,5,"19,278"
25-Sep-02,"5,338","2,949","2,040","1,849","1,291",69,70,75,74,73,75,75,73,75,72,70,70,140,68,68,71,73,"2,054",0,201,202,212,203,202,202,202,202,227,201,"3,743",332,714,993,713,991,12,4,7,1,5,"19,281"
26-Sep-02,"5,351","2,955","2,034","1,853","1,302",69,69,75,74,73,75,75,73,74,72,70,70,140,74,73,71,75,"2,060",0,201,202,220,201,202,202,202,202,227,201,"3,728",322,714,990,713,989,12,4,7,1,5,"19,300"
27-Sep-02,"5,345","2,974","2,040","1,845","1,277",63,67,73,70,72,71,72,69,75,72,69,70,139,73,73,75,74,"2,094",0,228,202,227,201,202,202,202,202,227,201,"3,693",288,714,989,713,989,12,4,7,1,5,"19,285"
28-Sep-02,"5,345","2,975","2,038","1,845","1,278",63,67,73,70,72,71,72,69,75,72,69,70,139,74,73,75,74,"2,093",0,228,201,227,201,202,202,202,202,227,201,"3,691",288,713,989,712,989,12,4,7,1,5,"19,282"
29-Sep-02,"5,341","2,975","2,038","1,845","1,278",63,67,73,70,72,71,72,69,75,72,69,70,139,74,73,75,74,"2,093",0,228,201,227,201,202,202,202,202,227,201,"3,689",288,713,987,712,989,12,4,7,1,5,"19,276"
30-Sep-02,"5,318","2,967","2,033","1,879","1,303",71,72,75,74,71,75,75,67,75,72,69,70,140,74,73,75,75,"2,121",0,227,201,227,202,202,202,202,230,227,201,"3,661",256,713,995,708,989,12,4,7,1,5,"19,299"
