date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,736","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
19-Aug-12,"3,367","3,190","3,203","2,131","1,555",90,75,71,85,68,73,81,82,90,70,92,89,240,101,78,72,98,"4,351",300,369,278,299,279,280,273,279,336,280,278,280,239,280,301,"4,204",0,"1,252","1,000","1,051",901,13,6,4,3,0,24,"22,038"
20-Aug-12,"3,371","3,191","3,209","2,167","1,569",91,75,71,85,69,75,82,82,90,74,93,90,243,99,78,73,99,"4,349",300,369,278,298,280,279,272,280,338,278,278,280,239,279,301,"4,195",0,"1,241",999,"1,052",903,13,6,4,3,0,7,"22,071"
21-Aug-12,"3,384","3,207","3,214","2,158","1,566",90,76,71,84,68,75,82,83,91,75,92,90,245,99,74,73,98,"4,355",300,369,280,298,279,279,274,280,339,280,279,280,238,279,301,"4,187",0,"1,235",999,"1,051",902,13,6,4,3,0,6,"22,090"
22-Aug-12,"3,376","3,216","3,220","2,174","1,563",90,76,72,85,66,75,80,82,90,74,93,89,244,102,74,73,98,"4,357",301,368,280,300,280,280,274,280,338,279,280,278,238,280,301,"4,185",0,"1,234",999,"1,051",901,13,6,4,3,0,7,"22,111"
23-Aug-12,"3,374","3,216","3,209","2,175","1,576",88,76,75,85,66,75,86,82,91,74,93,89,243,101,82,70,100,"4,355",301,368,280,300,280,280,274,280,339,279,280,277,238,280,299,"4,183",0,"1,230",999,"1,056",898,13,6,4,3,0,10,"22,111"
24-Aug-12,"3,379","3,215","3,188","2,209","1,565",87,76,75,84,66,75,83,82,89,75,93,92,241,101,81,70,95,"4,349",301,368,280,300,277,274,274,280,339,280,280,279,236,280,301,"4,161",0,"1,230","1,000","1,035",896,13,6,4,3,0,20,"22,099"
25-Aug-12,"3,376","3,215","3,188","2,209","1,562",86,76,75,84,66,74,83,82,89,75,93,91,241,101,81,70,95,"4,341",301,367,280,300,275,273,273,280,338,280,280,279,236,279,300,"4,158",0,"1,229","1,000","1,033",896,13,6,4,3,0,18,"22,080"
26-Aug-12,"3,374","3,214","3,186","2,209","1,562",86,76,75,84,66,75,84,82,88,75,93,91,240,101,81,70,95,"4,334",301,367,280,299,275,272,273,280,338,279,279,278,234,279,300,"4,157",0,"1,229","1,000","1,032",896,13,6,4,3,0,18,"22,067"
27-Aug-12,"3,380","3,299","3,183","2,143","1,567",90,76,76,84,67,76,83,81,88,74,93,92,241,98,82,70,96,"4,334",301,367,280,298,273,277,273,280,338,279,279,278,232,280,299,"4,157",0,"1,229","1,000","1,032",896,13,6,4,3,0,0,"22,076"
