date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
10-Mar-16,"3,379","2,846",30,6,"2,790","1,539","1,166",0,33,75,80,72,39,0,20,46,97,92,83,89,173,23,8,73,95,68,0,"3,424",237,293,240,238,200,201,239,239,258,201,200,199,241,200,238,"3,964",0,"1,132",999,933,900,12,4,6,2,"19,156"
11-Mar-16,"3,378","2,836",30,5,"2,797","1,524","1,175",0,33,70,79,68,39,0,19,69,96,92,82,86,171,26,10,72,95,68,0,"3,416",237,292,239,238,199,201,237,238,258,200,200,199,241,199,238,"3,962",0,"1,135",998,931,898,11,4,6,1,"19,134"
12-Mar-16,"3,378","2,835",30,5,"2,797","1,524","1,172",0,33,70,79,68,39,0,19,68,96,92,82,86,171,26,10,70,95,68,0,"3,416",237,292,239,238,199,201,237,238,258,200,200,199,241,199,238,"3,962",0,"1,135",998,931,898,11,4,6,1,"19,130"
13-Mar-16,"3,377","2,837",30,5,"2,795","1,524","1,171",0,33,70,79,68,39,0,19,69,96,92,82,86,171,26,10,68,95,68,0,"3,415",237,292,239,238,199,201,237,238,258,200,200,199,241,199,237,"3,961",0,"1,134",998,931,898,11,4,6,1,"19,126"
14-Mar-16,"3,374","2,863",30,6,"2,795","1,498","1,179",0,33,73,79,71,39,0,20,67,98,92,84,86,172,26,10,70,92,67,0,"3,421",236,295,239,238,197,200,240,238,260,200,199,200,241,200,238,"3,953",0,"1,133",998,925,897,12,4,6,2,"19,131"
15-Mar-16,"3,367","2,890",30,5,"2,794","1,467","1,190",0,33,72,80,70,40,0,19,68,98,92,83,87,174,25,10,69,98,72,0,"3,410",237,295,239,240,196,198,238,238,256,200,199,199,238,199,238,"3,960",0,"1,132",997,934,897,12,4,6,2,"19,125"
16-Mar-16,"3,372","2,903",30,5,"2,799","1,446","1,192",0,31,72,80,69,40,0,19,69,99,91,84,88,174,24,10,69,102,71,0,"3,416",237,294,239,239,200,200,236,240,255,200,200,199,238,199,240,"3,956",0,"1,129",996,936,895,12,4,6,2,"19,131"
17-Mar-16,"3,363","2,920",29,5,"2,790","1,444","1,182",0,30,71,77,69,41,0,20,69,99,91,84,87,172,23,10,66,102,71,0,"3,414",239,293,238,239,198,198,238,239,259,199,198,200,238,199,239,"3,954",0,"1,128",997,936,893,12,4,6,2,"19,113"
18-Mar-16,"3,382","2,883",29,3,"2,785","1,476","1,179",0,31,76,77,68,38,0,19,73,101,85,84,82,169,27,9,71,99,70,0,"3,420",240,294,239,239,200,200,240,238,260,194,198,200,238,200,240,"3,953",0,"1,127",997,935,894,10,4,5,1,"19,120"
