date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,129",58,0,"3,082","1,791","1,512",0,0,124,300,96,102,102,0,0,82,0,62,58,93,93,178,28,50,82,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,164,40,34,8,42,40,"24,334"
1-Sep-18,"3,261","3,837",36,0,"3,047","1,379","1,017",0,0,75,269,62,67,52,0,0,0,0,67,48,71,53,140,20,43,0,0,0,50,0,"3,647",235,294,262,241,199,198,267,270,256,266,266,200,194,261,238,"3,216",0,"1,304",988,0,924,5,0,3,2,22,1,13,7,0,1,"19,467"
2-Sep-18,"3,260","3,835",36,0,"3,046","1,379","1,012",0,0,75,264,62,67,52,0,0,0,0,67,48,71,53,140,20,43,0,0,0,50,0,"3,645",235,294,262,241,199,197,267,270,256,266,265,200,194,261,238,"3,216",0,"1,304",988,0,924,5,0,3,2,22,1,13,7,0,1,"19,456"
3-Sep-18,"3,260","3,835",36,0,"3,046","1,379","1,008",0,0,75,264,62,67,52,0,0,0,0,67,46,71,52,139,20,43,0,0,0,50,0,"3,645",235,294,262,241,199,197,267,270,256,266,265,200,194,261,238,"3,216",0,"1,304",988,0,924,5,0,3,2,22,1,13,7,0,1,"19,452"
4-Sep-18,"3,260","3,835",36,0,"3,046","1,379","1,008",0,0,75,264,62,67,52,0,0,0,0,67,46,71,52,139,20,43,0,0,0,50,0,"3,645",235,294,262,241,199,197,267,270,256,266,265,200,194,261,238,"3,215",0,"1,300",988,0,927,5,0,3,2,22,1,13,7,0,1,"19,451"
5-Sep-18,"3,241","3,877",36,0,"3,040","1,293","1,029",0,0,76,279,62,67,61,0,0,0,0,65,46,70,52,142,20,40,0,0,0,49,0,"3,640",239,291,262,241,199,196,265,268,257,265,264,200,194,262,237,"3,209",0,"1,298",985,0,926,5,0,3,2,28,1,20,6,0,1,"19,398"
6-Sep-18,"3,329","3,806",36,0,"3,043","1,355","1,024",0,0,82,275,62,66,51,0,0,0,0,65,46,70,51,142,19,47,0,0,0,48,0,"3,657",239,291,261,240,197,200,265,269,259,270,270,200,194,261,241,"3,211",0,"1,298",981,0,932,5,0,3,2,28,1,20,6,0,1,"19,494"
7-Sep-18,"3,259","3,810",38,0,"3,050","1,338","1,021",0,0,80,273,60,71,48,0,0,0,0,64,46,69,55,142,19,46,0,0,0,48,0,"3,656",240,289,260,240,197,200,269,269,258,272,266,200,194,261,241,"3,210",0,"1,290",989,0,931,5,0,3,2,28,1,20,6,0,1,"19,415"
8-Sep-18,"3,254","3,811",38,0,"3,048","1,338","1,016",0,0,80,269,60,71,48,0,0,0,0,64,46,69,55,142,19,45,0,0,0,48,0,"3,655",240,289,260,240,197,200,269,269,258,272,266,200,194,261,240,"3,209",0,"1,290",988,0,931,5,0,3,2,28,1,20,6,0,1,"19,402"
9-Sep-18,"3,254","3,811",38,0,"3,048","1,338","1,016",0,0,80,269,60,71,48,0,0,0,0,64,46,69,55,142,19,45,0,0,0,48,0,"3,655",240,289,260,240,197,200,269,269,258,272,266,200,194,261,240,"3,209",0,"1,290",988,0,931,5,0,3,2,28,1,20,6,0,1,"19,402"
