date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,610","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,224"
1-Apr-11,"3,228","3,232","3,176","1,683","1,437",83,70,80,84,69,74,73,72,98,86,84,53,188,84,78,69,92,"3,025",232,225,250,222,224,219,223,284,225,224,224,221,252,"5,123",903,"1,337",923,"1,075",885,8,3,5,0,5,13,"20,930"
2-Apr-11,"3,227","3,227","3,173","1,683","1,438",83,70,80,85,69,74,73,72,98,86,84,53,188,84,78,69,92,"3,022",232,225,250,221,224,219,223,284,225,222,224,221,252,"5,121",903,"1,336",923,"1,075",884,8,3,5,0,5,13,"20,917"
3-Apr-11,"3,226","3,227","3,173","1,683","1,438",83,70,80,85,69,74,73,72,98,86,84,53,188,84,78,69,92,"3,020",232,225,250,221,224,218,223,284,224,222,224,221,252,"5,119",903,"1,335",922,"1,075",884,8,3,5,0,5,13,"20,912"
4-Apr-11,"3,229","3,231","3,179","1,681","1,440",84,69,81,85,71,74,74,72,95,82,88,56,187,83,77,70,92,"3,019",231,225,250,221,224,218,223,284,224,223,222,222,252,"5,119",901,"1,339",922,"1,070",887,8,3,5,0,5,4,"20,915"
5-Apr-11,"3,223","3,264","3,163","1,672","1,455",84,69,86,85,80,81,74,69,94,82,88,56,183,86,76,70,92,"3,023",235,225,250,224,224,217,224,284,224,219,222,223,252,"5,121",905,"1,338",922,"1,069",887,8,3,5,0,5,3,"20,937"
6-Apr-11,"3,217","3,268","3,177","1,675","1,450",84,68,84,87,80,82,73,69,95,82,88,53,182,86,76,70,91,"3,029",234,225,250,224,224,217,224,284,224,223,223,225,252,"5,133",905,"1,345",922,"1,074",887,8,3,5,0,5,5,"20,967"
7-Apr-11,"3,207","3,231","3,172","1,685","1,478",84,76,84,85,84,86,72,72,92,81,88,57,185,95,75,71,91,"3,027",233,225,249,223,224,218,224,284,224,224,224,223,252,"5,126",904,"1,344",922,"1,070",886,8,3,5,0,5,5,"20,944"
8-Apr-11,"3,198","3,236","3,175","1,692","1,479",82,81,85,87,82,84,73,69,95,84,87,61,184,92,73,68,92,"3,030",236,225,249,222,224,216,225,286,222,224,224,225,252,"5,103",904,"1,346",925,"1,042",886,8,3,5,0,5,30,"20,956"
9-Apr-11,"3,195","3,237","3,173","1,692","1,477",82,81,85,87,82,83,72,69,95,84,87,61,184,92,73,68,92,"3,026",236,225,248,222,224,216,224,285,221,224,224,225,252,"5,101",904,"1,344",925,"1,042",886,8,3,5,0,5,29,"20,943"
