Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,466","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,775"
1-Jan-10,"3,924","3,226","2,970","1,468","1,792",87,98,93,98,101,99,102,98,97,92,93,92,249,102,97,95,99,"2,803",263,249,246,244,243,250,316,247,246,250,249,"5,279",898,"1,312",914,"1,206",949,10,6,3,1,6,12,"21,490"
2-Jan-10,"3,924","3,225","2,970","1,468","1,790",87,98,93,98,100,99,102,98,97,92,93,92,249,102,97,94,99,"2,803",263,249,246,244,243,250,316,247,246,250,249,"5,277",898,"1,311",914,"1,206",948,10,6,3,1,6,12,"21,485"
3-Jan-10,"3,922","3,223","2,969","1,468","1,790",87,98,93,98,100,99,102,98,97,92,93,92,249,102,97,94,99,"2,802",263,249,246,244,243,250,316,246,246,250,249,"5,276",898,"1,311",914,"1,205",948,10,6,3,1,6,12,"21,478"
4-Jan-10,"3,935","3,216","2,966","1,473","1,779",86,98,93,97,100,99,101,98,97,92,88,90,248,102,97,94,99,"2,799",263,248,246,243,243,250,316,246,246,250,248,"5,275",899,"1,310",914,"1,202",950,10,6,3,1,6,13,"21,472"
5-Jan-10,"3,922","3,225","2,993","1,490","1,774",86,98,93,97,100,99,101,98,96,92,88,90,245,101,97,94,99,"2,792",263,248,245,243,243,245,316,246,246,249,248,"5,275",900,"1,309",913,"1,202",951,10,6,3,1,6,16,"21,503"
6-Jan-10,"3,925","3,235","3,024","1,510","1,761",86,98,93,95,100,99,101,98,95,90,88,89,244,98,95,94,98,"2,773",263,247,245,242,243,244,316,245,242,241,245,"5,269",900,"1,309",912,"1,196",952,10,6,3,1,6,16,"21,529"
7-Jan-10,"3,931","3,241","3,086","1,481","1,759",86,98,93,94,100,100,101,98,95,90,88,91,242,98,93,94,98,"2,734",255,241,242,241,237,242,308,241,242,241,244,"5,253",900,"1,304",900,"1,197",952,10,6,3,1,6,15,"21,516"
8-Jan-10,"3,930","3,240","3,088","1,523","1,666",76,92,84,85,96,94,96,91,89,81,88,86,239,90,93,90,96,"2,731",255,240,240,241,237,242,308,241,242,241,244,"5,242",899,"1,303",899,"1,190",951,7,5,2,0,6,105,"21,538"
9-Jan-10,"3,929","3,240","3,086","1,523","1,661",76,92,84,84,96,94,96,91,89,80,88,86,239,89,93,90,94,"2,731",255,240,240,241,237,242,308,241,242,241,244,"5,241",899,"1,303",899,"1,189",951,7,5,2,0,6,104,"21,528"
