Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
19-Feb-15,"3,112",84,"2,356",22,119,"2,436",95,"1,541","1,037",51,52,47,53,44,52,47,47,47,63,79,58,160,97,46,44,50,"4,181",297,350,270,298,265,271,258,257,337,259,271,280,261,266,241,"3,999",0,"1,174",996,949,880,6,4,1,1,"18,988"
20-Feb-15,"3,111",83,"2,356",22,119,"2,436",95,"1,510","1,031",52,51,47,51,46,50,47,48,46,64,78,57,155,97,49,44,49,"4,223",297,349,270,300,265,269,257,256,337,259,269,280,261,266,288,"3,979",0,"1,175",996,931,877,5,3,1,1,"18,970"
21-Feb-15,"3,112",82,"2,360",22,119,"2,431",95,"1,510","1,030",52,51,47,51,46,50,47,48,46,63,78,57,155,97,49,44,49,"4,219",297,349,270,300,265,269,257,255,337,258,267,280,261,266,288,"3,979",0,"1,175",996,931,877,5,3,1,1,"18,964"
22-Feb-15,"3,111",80,"2,359",22,115,"2,431",92,"1,510","1,029",52,51,47,51,46,50,47,48,46,63,78,57,155,97,49,44,48,"4,216",297,349,270,299,265,269,257,255,337,258,266,280,261,265,288,"3,978",0,"1,175",996,930,877,5,3,1,1,"18,948"
23-Feb-15,"3,117",79,"2,383",22,113,"2,463",92,"1,430","1,032",52,52,47,49,47,52,47,48,46,63,79,58,158,95,47,44,48,"4,217",297,351,271,298,264,270,259,255,337,260,266,281,258,261,289,"3,971",0,"1,175",995,924,877,6,4,1,1,"18,925"
24-Feb-15,"3,108",78,"2,375",22,106,"2,456",97,"1,451","1,033",52,52,47,48,47,52,46,47,46,62,79,59,158,95,47,48,48,"4,218",296,351,271,297,263,270,259,261,336,259,268,281,256,261,289,"3,966",0,"1,175",994,922,875,5,3,1,1,"18,915"
25-Feb-15,"3,107",79,"2,379",22,101,"2,465",99,"1,457","1,033",51,52,46,49,47,54,46,47,47,62,78,58,158,95,47,48,48,"4,216",296,351,271,297,263,269,259,265,333,258,269,279,255,261,290,"3,963",0,"1,178",994,918,873,5,3,1,1,"18,926"
26-Feb-15,"3,110",79,"2,308",22,101,"2,462",100,"1,458","1,044",51,52,45,50,47,57,46,47,47,62,88,56,158,95,47,48,48,"4,212",295,353,272,297,263,266,259,265,332,260,268,279,253,259,291,"3,954",0,"1,178",994,910,872,5,3,1,1,"18,855"
27-Feb-15,"3,105",100,"2,352",23,92,"2,463",100,"1,487","1,030",50,52,43,49,43,56,46,47,51,60,85,56,159,92,46,48,47,"4,216",300,356,275,297,262,266,258,262,334,260,269,278,252,257,290,"3,953",0,"1,179",994,893,887,5,3,1,1,"18,926"
