Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
1-Aug-01,"5,336","3,019","1,977","1,481","1,248",74,73,70,72,73,74,74,73,74,75,62,50,111,74,75,71,73,"2,003",210,195,197,183,209,221,198,196,195,199,"3,468",838,491,864,403,872,17,6,10,1,6,"18,555"
2-Aug-01,"5,332","3,037","1,972","1,476","1,247",74,72,72,72,72,74,74,73,74,75,61,49,114,74,75,71,71,"2,008",210,198,198,183,209,221,198,196,195,200,"3,474",842,491,866,403,872,17,6,10,1,6,"18,569"
3-Aug-01,"5,326","3,023","1,950","1,476","1,197",70,69,67,68,70,70,68,71,72,71,61,50,109,72,72,65,72,"2,033",210,198,198,195,212,224,200,200,199,197,"3,480",840,491,866,405,878,17,6,10,1,5,"18,507"
4-Aug-01,"5,326","3,023","1,950","1,476","1,196",70,68,67,69,70,70,68,71,72,71,60,50,109,72,72,65,72,"2,032",210,198,198,195,212,224,200,200,199,196,"3,480",840,491,866,405,878,17,6,10,1,5,"18,505"
5-Aug-01,"5,325","3,023","1,949","1,494","1,197",70,68,68,69,70,70,68,71,72,71,60,50,109,72,72,65,72,"2,032",210,198,198,195,212,224,200,200,199,196,"3,480",840,491,866,405,878,17,6,10,1,5,"18,522"
6-Aug-01,"5,347","3,014","1,940","1,509","1,227",72,67,72,72,72,73,71,69,73,75,59,50,113,73,75,69,72,"2,028",210,197,198,194,212,223,200,200,198,196,"3,468",836,491,862,404,875,17,6,10,1,6,"18,556"
7-Aug-01,"5,312","3,019","1,959","1,509","1,229",73,67,71,72,70,73,71,75,74,75,59,49,112,73,75,68,72,"2,020",209,195,198,193,211,223,200,200,197,194,"3,462",835,491,859,404,873,17,6,10,1,6,"18,533"
8-Aug-01,"5,308","3,034","1,949","1,491","1,239",73,73,75,74,70,73,74,75,74,75,59,48,108,73,75,68,72,"2,009",208,194,196,192,207,222,200,200,196,194,"3,459",834,490,859,403,873,17,6,10,1,6,"18,512"
9-Aug-01,"5,299","3,020","1,977","1,486","1,247",73,73,75,75,75,74,73,75,74,75,59,48,111,70,75,68,74,"2,002",208,193,193,194,207,222,200,198,193,194,"3,473",837,499,861,405,871,17,6,10,1,6,"18,527"
10-Aug-01,"5,299","3,038","1,952","1,476","1,211",70,70,72,74,74,70,71,74,72,73,59,44,108,70,70,67,73,"2,013",208,193,192,194,213,224,201,197,193,198,"3,485",843,499,868,404,871,18,6,11,1,6,"18,498"
