Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,543","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,236"
10-Dec-10,"3,264","3,165","3,181","1,661","1,595",81,81,72,86,76,84,98,84,102,92,90,62,220,100,84,82,101,"3,008",235,222,240,224,224,219,224,284,226,224,222,223,241,"5,252",902,"1,357",910,"1,197",886,9,4,3,2,5,13,"21,153"
11-Dec-10,"3,262","3,163","3,180","1,661","1,594",81,81,72,86,76,84,98,84,102,92,90,62,219,100,84,82,101,"3,006",235,221,240,224,224,219,224,284,225,224,222,223,241,"5,251",902,"1,357",910,"1,196",886,9,4,3,2,5,13,"21,144"
12-Dec-10,"3,262","3,164","3,176","1,661","1,594",81,81,72,86,76,84,98,84,102,92,90,62,219,100,84,82,101,"3,005",235,221,240,223,224,219,224,284,225,224,222,223,241,"5,248",902,"1,356",909,"1,196",885,9,4,3,2,5,12,"21,136"
13-Dec-10,"3,251","3,182","3,173","1,688","1,581",80,80,70,85,76,83,98,83,102,92,90,63,215,100,83,82,99,"3,005",234,221,240,224,224,219,224,284,225,224,223,223,240,"5,239",901,"1,355",907,"1,195",881,9,4,3,2,5,15,"21,148"
14-Dec-10,"3,256","3,196","3,177","1,682","1,576",81,79,71,85,76,83,98,82,100,92,92,65,213,99,82,80,98,"3,010",234,224,240,224,224,219,223,284,225,224,224,224,241,"5,239",900,"1,359",906,"1,193",881,9,4,3,2,5,15,"21,165"
15-Dec-10,"3,258","3,204","3,170","1,687","1,576",81,79,69,86,76,85,98,82,100,92,92,64,213,99,82,80,98,"3,010",234,224,240,224,224,219,224,284,225,224,224,223,241,"5,248",900,"1,358",905,"1,198",887,9,4,3,2,5,14,"21,181"
16-Dec-10,"3,257","3,223","3,171","1,673","1,568",81,79,73,86,75,85,97,81,100,92,86,64,213,98,81,80,97,"3,006",234,224,238,224,224,218,224,284,225,224,224,222,241,"5,241",899,"1,360",903,"1,194",885,8,4,3,1,5,15,"21,167"
17-Dec-10,"3,251","3,212","3,177","1,664","1,588",81,83,73,86,75,85,97,83,101,92,86,67,217,101,84,84,93,"3,004",235,224,237,224,224,218,223,284,225,224,223,222,241,"5,242",900,"1,359",903,"1,197",883,8,4,3,1,5,17,"21,168"
18-Dec-10,"3,251","3,213","3,177","1,664","1,587",81,83,73,86,75,85,97,83,101,92,86,67,217,101,84,84,92,"3,003",235,223,237,224,224,218,223,284,225,224,223,222,241,"5,242",900,"1,359",903,"1,197",883,8,4,3,1,5,14,"21,164"
