date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,818","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
10-Dec-12,"3,370","3,347",0,"3,203","2,345","1,468",85,73,64,69,75,59,64,68,94,77,93,90,253,96,66,51,91,"4,353",298,368,278,299,280,280,273,280,340,280,280,280,238,279,300,"4,232",0,"1,123",993,"1,212",904,14,5,6,3,0,11,"22,343"
11-Dec-12,"3,368","3,336",0,"3,259","2,337","1,476",87,72,71,69,75,59,64,68,95,77,93,93,252,94,65,51,91,"4,353",298,368,280,300,280,280,274,280,339,278,279,280,238,279,300,"4,223",0,"1,122",993,"1,205",903,14,5,6,3,0,7,"22,373"
12-Dec-12,"3,358","3,335",23,"3,255","2,344","1,489",87,72,71,69,76,62,64,70,92,80,93,93,255,96,65,54,90,"4,354",298,368,280,300,280,280,274,280,340,279,280,280,237,278,300,"4,211",0,"1,124",992,"1,193",902,14,5,6,3,0,7,"22,390"
13-Dec-12,"3,348","3,288",26,"3,256","2,328","1,484",87,73,70,69,76,61,64,70,92,80,92,93,253,96,64,54,90,"4,356",297,368,280,300,280,280,273,281,339,279,278,280,243,279,299,"4,286",0,"1,124","1,000","1,254",908,13,4,6,3,0,7,"22,392"
14-Dec-12,"3,352","3,303",27,"3,247","2,315","1,488",91,73,73,70,74,63,64,70,91,80,93,93,252,95,64,53,89,"4,356",297,367,280,300,280,279,274,280,340,280,278,280,241,278,302,"4,282",0,"1,125","1,000","1,252",905,13,4,6,3,0,7,"22,390"
15-Dec-12,"3,349","3,302",26,"3,247","2,315","1,487",91,73,72,70,74,63,64,70,91,80,93,93,252,95,64,53,89,"4,356",297,367,280,300,280,279,274,280,340,280,278,280,241,278,302,"4,280",0,"1,124","1,000","1,251",905,13,4,6,3,0,7,"22,382"
16-Dec-12,"3,347","3,302",22,"3,246","2,315","1,485",90,73,72,70,74,63,63,70,91,80,93,93,252,95,64,53,89,"4,352",297,366,279,300,280,278,274,280,340,280,278,280,241,278,301,"4,278",0,"1,123","1,000","1,250",905,13,4,6,3,0,5,"22,365"
17-Dec-12,"3,347","3,332",23,"3,243","2,322","1,480",89,72,72,70,73,63,62,70,90,80,93,93,252,95,64,53,89,"4,353",297,366,278,299,280,280,274,280,340,280,280,280,241,279,299,"4,273",0,"1,120","1,000","1,249",904,13,4,6,3,0,5,"22,391"
18-Dec-12,"3,364","3,326",26,"3,243","2,314","1,482",91,71,72,70,73,63,62,70,92,80,93,91,256,94,63,53,88,"4,356",297,368,278,299,279,280,273,280,340,280,280,279,242,277,304,"4,276",0,"1,123","1,000","1,250",903,13,4,6,3,0,4,"22,404"
