date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,500",300,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,340"
1-Aug-14,"3,346","2,452",39,NR,"3,216","1,743","1,187",91,48,57,62,51,52,39,50,68,73,81,76,189,102,55,48,45,"4,405",300,368,278,300,278,276,274,273,354,276,280,278,289,281,300,4237,"1,201",1000,"1,218",818,7,5,1,1,"20,632"
2-Aug-14,"3,342","2,453",39,NR,"3,211","1,743","1,187",91,48,57,62,51,52,39,50,68,73,81,76,189,102,55,48,45,"4,403",300,368,278,300,278,276,274,273,354,276,280,277,289,280,300,4236,"1,201",1000,"1,218",817,7,5,1,1,"20,621"
3-Aug-14,"3,342","2,452",39,NR,"3,211","1,746","1,186",91,48,57,61,51,52,40,50,68,73,81,76,189,102,55,48,44,"4,397",299,368,278,299,278,276,274,273,354,276,280,277,289,279,297,4235,"1,200",1000,"1,218",817,7,5,1,1,"20,615"
4-Aug-14,"3,327","2,474",39,NR,"3,208","1,745","1,187",91,49,59,61,51,53,40,50,69,76,78,76,188,102,54,47,43,"4,408",298,368,280,297,280,280,273,279,354,276,280,278,288,277,300,4225,"1,202",999,"1,210",814,7,4,2,1,"20,620"
5-Aug-14,"3,342","2,433",39,51,"3,212","1,755","1,176",91,49,57,61,50,53,40,49,66,75,78,74,188,102,53,47,43,"4,411",298,368,280,300,280,280,273,279,354,274,280,280,288,278,299,4222,"1,201",999,"1,208",814,7,4,2,1,"20,648"
6-Aug-14,"3,342","2,415",40,83,"3,224","1,736","1,176",88,49,57,64,55,51,40,49,64,75,85,73,187,97,52,47,43,"4,395",300,368,280,299,279,280,274,274,348,274,280,279,284,278,298,4221,"1,201",998,"1,204",818,6,4,1,1,"20,638"
7-Aug-14,"3,340","2,511",41,80,"3,225","1,721","1,172",87,53,56,64,54,51,40,49,63,77,84,70,187,96,52,46,43,"4,392",297,369,279,299,279,280,274,273,348,272,280,279,284,280,299,4153,"1,197",998,"1,140",818,6,4,1,1,"20,641"
8-Aug-14,"3,322","2,517",40,83,"3,217","1,741","1,164",87,51,55,63,54,51,40,48,63,75,88,70,188,93,49,46,43,"4,395",297,369,278,296,278,280,276,276,346,278,280,279,284,278,300,4178,"1,197",997,"1,160",824,5,3,1,1,"20,662"
9-Aug-14,"3,321","2,517",40,83,"3,216","1,741","1,162",87,51,55,63,54,51,40,48,62,75,88,69,188,93,49,46,43,"4,391",297,369,278,296,277,279,274,276,346,278,280,279,284,278,300,4176,"1,196",996,"1,160",824,5,3,1,1,"20,652"
10-Aug-14,"3,321","2,517",40,83,"3,213","1,741","1,160",87,51,55,63,54,51,40,48,62,75,87,69,187,93,49,46,43,"4,390",297,369,278,296,277,279,274,276,345,278,280,279,284,278,300,4172,"1,194",996,"1,158",824,5,3,1,1,"20,642"
