Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,,,,,,,,,,TOTALS,
Capacity,3590,"3,882",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,,,,,,,,,,"24,223",
11-Apr-17,3379,"3,387",30,18,"3,061","1,354","1,010",0,0,90,82,80,0,0,69,17,61,53,89,76,162,5,17,75,19,56,59,0,"3,825",239,294,260,288,223,222,271,282,352,200,223,266,243,221,241,"3,050",0,"1,166",997,0,887,15,6,6,3,,,,,,,"19,129",11-Apr-17
12-Apr-17,3381,"3,405",30,18,"3,064","1,365","1,002",0,0,89,81,80,0,0,67,16,61,53,91,75,162,5,16,74,19,56,57,0,"3,830",239,294,264,288,222,222,274,282,352,200,223,265,243,221,241,"3,048",0,"1,165",997,0,886,15,6,6,3,,,,,,,"19,158",12-Apr-17
13-Apr-17,"3,371","3,397",30,18,"3,067","1,395",991,0,0,89,81,80,0,0,68,15,59,52,91,72,161,4,15,75,19,55,55,0,"3,813",240,294,264,288,220,221,272,281,350,200,222,263,238,221,239,"3,040",0,"1,162",995,0,883,14,6,5,3,,,,,,,"19,136",13-Apr-17
14-Apr-17,3363,"3,394",30,16,"3,066","1,382",994,0,0,89,81,80,0,0,75,15,57,50,91,70,159,4,19,77,19,55,53,0,"3,819",240,293,263,287,224,224,272,280,352,200,223,263,238,223,237,"3,038",0,"1,163",993,0,882,14,6,5,3,,,,,,,"19,116",14-Apr-17
15-Apr-17,3361,"3,391",30,16,"3,066","1,382",994,0,0,89,81,80,0,0,75,15,57,50,91,70,159,4,19,77,19,55,53,0,"3,817",240,293,263,287,224,224,272,280,352,200,223,263,238,222,236,"3,038",0,"1,163",994,0,881,14,6,5,3,,,,,,,"19,109",15-Apr-17
16-Apr-17,3361,"3,391",30,16,"3,065","1,382",993,0,0,89,81,80,0,0,76,15,57,50,91,70,159,4,18,76,19,55,53,0,"3,817",240,293,263,287,224,224,272,280,352,200,223,263,238,222,236,"3,039",0,"1,163",994,0,882,14,6,5,3,,,,,,,"19,108",16-Apr-17
17-Apr-17,3358,"3,414",30,16,"3,049","1,386","1,009",0,0,86,80,80,0,0,76,15,59,66,91,70,161,4,18,76,19,53,55,0,"3,806",240,292,263,287,223,224,272,280,348,197,223,263,237,222,235,"3,031",0,"1,158",994,0,879,14,6,5,3,,,,,,,"19,113",17-Apr-17
18-Apr-17,3354,"3,443",30,15,"3,038","1,379",983,0,0,86,80,79,0,0,75,15,60,50,88,68,161,4,17,76,18,52,54,0,"3,787",240,290,263,282,222,224,272,278,348,195,222,261,238,220,232,"3,024",0,"1,155",993,0,876,14,6,5,3,,,,,,,"19,067",18-Apr-17
19-Apr-17,3355,"3,441",29,15,"3,043","1,373",983,0,0,86,80,79,0,0,75,15,60,50,88,68,161,4,17,76,18,52,54,0,"3,782",240,293,263,284,221,223,270,277,346,195,222,261,235,220,232,"3,029",0,"1,155","1,000",0,874,14,6,5,3,,,,,,,"19,064",19-Apr-17
20-Apr-17,3357,"3,422",29,16,"3,048","1,336",974,0,0,84,80,77,0,0,73,15,59,49,88,71,161,4,17,73,18,49,56,0,"3,795",239,293,264,287,222,222,274,276,342,199,221,260,234,222,240,"3,031",0,"1,154","1,000",0,877,14,6,5,3,,,,,,,"19,022",20-Apr-17
21-Apr-17,3368,"3,399",29,19,"3,055","1,304",992,0,0,82,78,78,0,0,80,14,62,48,88,67,161,4,28,79,18,49,56,0,"3,810",239,293,264,287,222,222,274,278,350,199,223,261,234,224,240,"3,036",0,"1,153",999,0,884,14,6,5,3,,,,,,,"19,026",21-Apr-17
