Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,179"
1-Jul-19,"3,224","3,784",28,0,"2,660","1,320","1,054",0,0,81,310,91,0,51,0,0,0,0,78,52,79,74,148,11,22,0,0,0,57,0,"4,304",299,292,273,310,336,278,316,278,349,279,278,279,166,273,298,"3,156",0,"1,250",998,0,908,9,0,6,3,29,1,25,2,0,1,"19,568"
2-Jul-19,"3,227","3,767",28,0,"2,661","1,313","1,057",0,0,81,312,90,0,51,0,0,0,0,77,52,79,74,150,13,22,0,0,0,56,0,"4,310",298,291,271,310,331,278,326,278,349,280,277,279,166,279,297,"3,153",0,"1,248",998,0,907,9,0,6,3,29,1,25,2,0,1,"19,554"
3-Jul-19,"3,241","3,745",28,0,"2,659","1,310","1,087",0,0,86,320,90,0,51,0,0,0,0,77,52,78,74,150,13,40,0,0,0,56,0,"4,297",298,291,275,310,319,282,326,278,349,279,277,279,163,274,297,"3,169",0,"1,263","1,000",0,906,9,0,6,3,27,0,24,2,0,1,"19,572"
4-Jul-19,"3,241","3,743",28,0,"2,658","1,310","1,082",0,0,86,316,90,0,51,0,0,0,0,77,52,78,74,150,13,39,0,0,0,56,0,"4,297",298,291,275,310,319,282,326,278,349,279,277,279,163,274,297,"3,169",0,"1,263","1,000",0,906,9,0,6,3,27,0,24,2,0,1,"19,564"
5-Jul-19,"3,240","3,741",28,0,"2,656","1,310","1,079",0,0,86,315,90,0,51,0,0,0,0,77,51,78,74,150,13,38,0,0,0,56,0,"4,294",298,291,275,310,319,282,324,278,349,278,277,279,163,274,297,"3,169",0,"1,263","1,000",0,906,9,0,6,3,27,0,24,2,0,1,"19,553"
6-Jul-19,"3,239","3,743",28,0,"2,657","1,310","1,077",0,0,86,314,90,0,51,0,0,0,0,77,51,78,74,150,13,37,0,0,0,56,0,"4,294",298,291,275,310,319,282,324,278,349,278,277,279,163,274,297,"3,169",0,"1,263","1,000",0,906,9,0,6,3,27,0,24,2,0,1,"19,553"
7-Jul-19,"3,236","3,740",28,0,"2,654","1,310","1,076",0,0,86,312,90,0,51,0,0,0,0,77,52,78,74,150,13,37,0,0,0,56,0,"4,298",297,291,275,310,324,282,324,278,349,278,277,279,163,274,297,"3,169",0,"1,263","1,000",0,906,9,0,6,3,27,0,24,2,0,1,"19,547"
8-Jul-19,"3,233","3,740",28,0,"2,656","1,310","1,063",0,0,85,304,90,0,51,0,0,0,0,77,51,78,74,149,13,36,0,0,0,55,0,"4,291",296,290,275,310,324,282,322,278,347,278,277,278,163,274,297,"3,170",0,"1,262","1,000",0,908,9,0,6,3,28,1,24,2,0,1,"19,528"
9-Jul-19,"3,230","3,727",27,0,"2,653","1,328","1,055",0,0,85,301,90,0,50,0,0,0,0,77,51,78,74,147,13,35,0,0,0,54,0,"4,283",296,290,274,310,324,281,321,277,346,277,276,277,163,274,297,"3,164",0,"1,256","1,000",0,908,9,0,6,3,28,1,24,2,0,1,"19,504"
10-Jul-19,"3,226","3,759",27,0,"2,657","1,307","1,056",0,0,85,308,90,0,49,0,0,0,0,77,51,77,72,147,13,33,0,0,0,54,0,0,294,290,274,309,324,281,320,277,344,277,280,276,162,274,295,"3,159",0,"1,254",998,0,907,9,0,6,3,0,1,24,2,0,1,"15,200"
11-Jul-19,"3,225","3,763",26,0,"2,652","1,285","1,053",0,0,85,304,90,0,49,0,0,0,0,78,49,77,72,147,13,33,0,0,0,56,0,"4,290",292,290,273,308,323,281,317,280,350,280,280,279,162,279,296,"3,160",0,"1,255",997,0,908,9,0,6,3,32,1,28,2,0,1,"19,495"
12-Jul-19,"3,223","3,810",26,0,"2,701","1,276",989,0,0,82,304,86,0,0,0,0,0,0,76,46,77,72,147,13,31,0,0,0,55,0,"4,275",292,290,273,306,316,280,316,279,348,281,280,279,162,277,296,"3,152",0,"1,248",996,0,908,9,0,6,3,33,1,28,3,0,1,"19,494"
13-Jul-19,"3,222","3,821",26,0,"2,698","1,276",985,0,0,82,302,86,0,0,0,0,0,0,76,46,77,72,147,13,29,0,0,0,55,0,"4,274",292,290,273,306,315,280,316,279,348,281,280,279,162,277,296,"3,152",0,"1,248",996,0,908,9,0,6,3,33,1,28,3,0,1,"19,496"
14-Jul-19,"3,221","3,812",26,0,"2,698","1,278",982,0,0,82,300,86,0,0,0,0,0,0,76,46,77,72,147,13,28,0,0,0,55,0,"4,272",292,290,272,306,315,280,316,279,348,280,280,279,162,277,296,"3,152",0,"1,248",996,0,908,9,0,6,3,33,1,28,3,0,1,"19,483"
15-Jul-19,"3,215","3,761",26,0,"2,648","1,286","1,040",0,0,85,313,86,0,49,0,0,0,0,72,46,77,72,144,13,27,0,0,0,56,0,"4,288",292,288,279,310,321,279,314,279,348,277,280,280,162,280,299,"3,168",0,"1,251",996,0,921,9,0,6,3,32,1,28,2,0,1,"19,473"
