Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,760","3,233","2,214","2,295","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,180"
14-Jan-05,"4,586","2,958","2,129","2,020","1,555",80,91,81,93,93,92,88,89,93,84,58,58,187,94,97,89,88,"2,730",250,249,249,247,247,246,246,247,250,249,250,"4,696",943,864,980,127,815,967,11,3,5,3,5,134,"20,824"
15-Jan-05,"4,587","2,956","2,127","2,020","1,552",80,91,81,93,93,92,87,88,93,84,58,58,186,94,97,89,88,"2,730",250,249,249,247,247,246,246,247,250,249,250,"4,695",943,864,980,127,815,966,11,3,5,3,5,133,"20,816"
16-Jan-05,"4,583","2,953","2,128","2,020","1,551",80,91,81,93,92,92,87,88,93,84,58,58,186,94,97,89,88,"2,729",250,249,249,247,247,246,246,247,250,249,249,"4,694",942,864,980,127,815,966,11,3,5,3,5,132,"20,806"
17-Jan-05,"4,582","2,952","2,122","2,025","1,667",90,100,88,101,100,102,96,96,97,88,61,64,191,102,102,95,94,"2,728",250,249,249,247,247,245,246,247,250,249,249,"4,690",941,863,980,127,814,965,14,5,5,4,5,4,"20,789"
18-Jan-05,"4,574","2,916","2,121","1,997","1,685",91,100,92,100,99,102,100,95,102,88,61,64,195,101,102,93,100,"2,725",248,248,249,247,247,245,247,250,249,249,246,"4,743",957,863,993,128,821,981,14,5,5,4,5,3,"20,783"
19-Jan-05,"4,571","2,929","2,144","1,948","1,677",91,100,91,99,96,102,97,95,102,88,63,64,195,100,102,92,100,"2,724",246,249,248,249,246,245,247,250,249,249,246,"4,749",959,865,994,128,822,981,14,5,5,4,5,2,"20,763"
20-Jan-05,"4,561","2,963","2,139","1,921","1,689",91,100,90,98,96,101,97,102,102,88,66,68,198,98,100,94,100,"2,726",246,249,247,249,246,244,248,250,249,249,249,"4,744",957,865,993,128,821,980,14,5,5,4,5,3,"20,765"
21-Jan-05,"4,556","2,978","2,142","1,912","1,590",87,89,83,88,85,97,88,98,95,92,65,66,193,92,93,88,91,"2,727",247,248,247,249,246,244,249,249,249,249,250,"4,758",956,864,994,128,822,994,14,5,5,4,5,106,"20,788"
22-Jan-05,"4,555","2,977","2,142","1,912","1,588",87,89,83,88,85,97,88,98,95,91,65,65,193,92,93,88,91,"2,725",247,248,247,247,246,244,249,249,249,249,250,"4,757",956,864,994,128,822,993,14,5,5,4,5,109,"20,784"
23-Jan-05,"4,553","2,977","2,143","1,912","1,589",87,89,84,88,85,97,88,98,95,92,65,65,193,92,92,88,91,"2,722",247,248,245,247,245,244,249,249,249,249,250,"4,755",956,863,994,128,821,993,14,5,5,4,5,107,"20,777"
24-Jan-05,"4,572","2,965","2,137","1,897","1,703",89,96,95,98,97,101,101,102,102,92,68,71,193,102,99,97,100,"2,736",247,250,249,249,248,249,249,249,247,250,249,"4,758",956,862,994,128,825,993,14,5,5,4,5,108,"20,895"
25-Jan-05,"4,567","3,003","2,140","1,862","1,708",91,99,94,102,97,100,101,102,101,91,68,71,193,102,98,99,99,"2,740",247,250,248,250,248,249,250,249,250,250,249,"4,756",957,860,994,128,825,992,14,5,5,4,5,1,"20,796"
26-Jan-05,"4,558","3,032","2,139","1,753","1,709",91,101,94,102,99,101,101,101,102,90,68,71,192,100,98,98,100,"2,743",246,250,250,250,248,249,250,250,250,250,250,"4,762",956,872,993,128,821,992,14,5,5,4,5,4,"20,719"
