Location,MS STATE PENITENTIARY  (capacity decreased by 80 7/27),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,692","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,827"
21-Jul-01,"5,292","2,974","1,981","1,466","1,231",67,69,75,69,69,71,73,70,70,71,68,57,110,74,73,72,73,"2,024",210,199,200,190,211,219,200,200,196,199,"3,445",837,499,861,389,859,18,6,11,1,5,"18,436"
22-Jul-01,"5,291","2,974","1,981","1,466","1,232",67,69,75,69,69,71,73,70,70,71,69,57,110,74,73,72,73,"2,024",210,199,200,190,211,219,200,200,196,199,"3,443",837,498,861,388,859,18,6,11,1,5,"18,434"
23-Jul-01,"5,286","2,963","1,953","1,474","1,261",74,73,75,69,70,71,73,73,75,74,66,55,117,75,73,73,75,"2,031",210,198,199,196,210,224,199,200,196,199,"3,452",841,496,869,389,857,18,6,11,1,6,"18,444"
24-Jul-01,"5,279","2,993","1,950","1,488","1,265",74,75,74,68,73,71,74,73,75,72,66,55,117,75,75,73,75,"2,025",210,198,198,193,209,223,198,200,197,199,"3,449",841,493,869,389,857,18,6,11,1,6,"18,473"
25-Jul-01,"5,314","2,979","1,941","1,473","1,261",74,75,72,68,73,72,74,74,75,72,64,55,115,75,75,73,75,"2,023",210,196,198,192,209,224,198,200,196,200,"3,447",840,493,868,389,857,18,6,11,1,6,"18,462"
26-Jul-01,"5,284","2,962","1,962","1,502","1,268",74,74,72,74,75,75,74,72,75,72,63,55,115,75,75,73,75,"2,008",210,195,197,186,209,222,197,197,195,200,"3,467",840,493,868,391,875,18,6,11,1,6,"18,477"
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
27-Jul-01,"5,303","2,974","1,956","1,514","1,235",69,73,70,71,75,73,74,72,73,70,61,54,115,74,67,71,73,"2,007",211,195,196,185,209,222,198,197,195,199,"3,479",838,493,868,405,875,18,6,11,1,6,"18,492"
28-Jul-01,"5,305","2,973","1,958","1,517","1,235",69,73,70,72,75,73,74,72,73,70,52,73,115,75,67,71,61,"2,007",211,195,196,185,209,222,198,197,195,199,"3,477",838,493,867,405,874,18,6,11,1,6,"18,496"
29-Jul-01,"5,305","2,975","1,959","1,517","1,235",69,73,70,72,75,73,74,72,73,70,61,52,115,75,67,71,73,"2,007",211,195,196,185,209,222,198,197,195,199,"3,477",838,493,867,405,874,18,6,11,1,6,"18,499"
30-Jul-01,"5,305","2,978","1,956","1,522","1,256",72,74,72,74,75,74,74,73,74,72,62,51,113,75,75,73,73,"2,004",211,195,196,184,209,221,198,196,195,199,"3,474",838,492,867,403,874,17,6,10,1,6,"18,518"
31-Jul-01,"5,304","2,991","1,979","1,522","1,249",72,74,71,72,73,74,74,73,74,71,62,51,113,74,75,73,73,"2,002",211,195,196,183,209,220,198,196,195,199,"3,470",838,492,864,403,873,17,6,10,1,6,"18,540"
