Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,500",300,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,144"
11-Sep-14,"3,326","2,380",40,118,"3,137","1,879","1,156",86,53,56,62,54,48,51,49,53,71,91,57,187,98,44,48,48,"4,213",300,362,280,297,278,276,267,265,355,269,280,277,138,276,293,4135,"1,198",994,"1,086",857,6,4,1,1,"20,390"
12-Sep-14,"3,327","2,339",40,118,"3,111","1,760","1,155",86,52,54,61,52,46,55,52,54,71,91,60,184,99,43,46,49,"4,357",300,361,278,300,271,279,268,267,355,264,280,277,285,277,295,4130,"1,198",994,"1,078",860,5,3,1,1,"20,342"
13-Sep-14,"3,326","2,347",40,117,"3,111","1,760","1,154",86,52,54,60,52,46,55,52,54,71,91,60,184,99,43,46,49,"4,355",300,361,278,300,271,279,267,267,355,264,280,277,284,277,295,4130,"1,198",994,"1,078",860,5,3,1,1,"20,345"
14-Sep-14,"3,325","2,340",40,116,"3,109","1,760","1,152",86,51,54,60,51,46,55,52,54,71,91,60,184,99,43,46,49,"4,353",299,361,277,300,271,279,267,267,355,264,280,277,284,277,295,4130,"1,198",994,"1,078",860,5,3,1,1,"20,330"
15-Sep-14,"3,308","2,342",40,115,"3,101","1,809","1,060",84,50,55,59,53,47,56,52,54,69,90,59,98,98,43,44,49,"4,327",295,357,275,297,271,277,269,271,353,263,276,274,282,272,295,4119,"1,195",993,"1,073",858,6,4,1,1,"20,227"
16-Sep-14,"3,290","2,388",41,115,"3,085","1,708","1,124",84,47,55,58,51,47,54,52,54,69,89,58,177,94,44,43,48,"4,301",295,355,276,300,267,273,268,266,352,257,278,271,280,271,292,4113,"1,195",991,"1,072",855,5,4,1,,"20,170"
17-Sep-14,"3,306","2,348",39,115,"3,086","1,697","1,133",84,47,54,59,51,47,54,52,53,69,89,61,176,99,48,42,48,"4,299",300,353,276,299,267,274,264,267,351,255,278,273,281,270,291,4112,"1,195",998,"1,070",849,6,4,1,1,"20,141"
18-Sep-14,"3,299","2,375",38,114,"3,077","1,672","1,125",84,47,53,58,51,47,54,52,53,67,88,60,174,98,48,43,48,"4,294",299,353,276,298,262,274,264,267,354,255,279,273,280,270,290,4097,"1,195",996,"1,059",847,7,4,1,2,"20,098"
19-Sep-14,"3,325","2,301",37,113,"3,086","1,743","1,056",84,47,51,56,50,44,52,55,53,69,90,58,169,49,43,43,43,"4,323",300,355,276,300,266,278,262,274,353,260,279,277,279,273,291,4092,"1,196",996,"1,052",848,7,3,2,2,"20,083"
20-Sep-14,"3,323","2,299",37,113,"3,084","1,684","1,116",84,47,51,56,50,45,52,55,53,69,90,58,169,102,49,43,43,"4,317",300,355,275,300,265,278,261,274,353,258,279,277,279,272,291,4092,"1,196",996,"1,052",848,7,3,2,2,"20,072"
21-Sep-14,"3,323","2,298",37,112,"3,082","1,684","1,115",84,47,51,56,50,45,52,54,53,69,90,58,169,102,49,43,43,"4,316",300,355,275,299,265,278,260,274,353,258,280,277,279,272,291,4092,"1,196",996,"1,052",848,6,2,2,2,"20,065"
