Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,632","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,546"
10-Aug-11,"3,091","3,260","3,112","1,878","1,576",78,76,85,88,92,90,72,83,95,89,89,84,206,96,87,80,86,"3,285",252,235,225,249,224,224,218,225,284,224,226,223,224,252,"5,155",902,"1,356",997,994,906,6,3,3,0,5,14,"21,382"
11-Aug-11,"3,079","3,250","3,116","1,892","1,584",82,84,85,88,92,90,71,83,95,88,89,82,204,94,90,83,84,"3,277",251,235,222,249,223,223,219,224,284,223,226,223,223,252,"5,155",899,"1,355",997,999,905,6,3,3,0,5,14,"21,378"
12-Aug-11,"3,076","3,247","3,110","1,917","1,563",79,83,83,87,91,89,70,82,95,87,82,80,205,92,90,82,86,"3,282",251,235,224,250,223,224,219,224,284,224,226,224,222,252,"5,162",900,"1,362","1,000",996,904,6,3,3,0,5,25,"21,393"
13-Aug-11,"3,075","3,250","3,109","1,917","1,559",79,83,83,86,91,89,68,82,95,87,81,80,205,92,90,82,86,"3,277",251,234,222,248,223,224,219,224,284,224,226,224,222,252,"5,155",899,"1,359","1,000",994,903,6,3,3,0,5,26,"21,379"
14-Aug-11,"3,073","3,250","3,110","1,917","1,556",79,83,83,86,91,89,68,82,94,87,80,80,204,92,90,82,86,"3,273",251,234,222,247,223,224,218,224,284,224,224,224,222,252,"5,153",899,"1,359",998,994,903,6,3,3,0,5,26,"21,369"
15-Aug-11,"3,069","3,246","3,094","1,935","1,561",85,83,84,83,91,89,68,80,96,89,80,80,202,93,90,82,86,"3,269",251,234,222,247,223,224,216,224,283,224,224,224,222,251,"5,145",900,"1,359",996,988,902,6,3,3,0,5,8,"21,338"
16-Aug-11,"3,090","3,239","3,091","1,922","1,555",85,81,85,83,93,90,67,79,95,88,79,79,201,93,90,81,86,"3,274",251,234,224,247,223,224,218,225,284,223,224,224,222,251,"5,150",899,"1,359",996,989,907,6,3,3,0,5,8,"21,340"
17-Aug-11,"3,096","3,224","3,089","1,893","1,527",80,80,84,82,89,91,67,75,94,87,79,77,198,91,89,80,84,"3,277",251,234,224,249,224,224,219,224,284,223,224,224,222,251,"5,157",899,"1,357",999,994,908,6,3,3,0,5,8,"21,282"
18-Aug-11,"3,092","3,217","3,096","1,922","1,533",80,80,84,86,93,91,66,75,94,87,79,77,197,88,91,80,85,"3,277",251,231,223,251,223,224,219,224,284,224,224,224,224,251,"5,156",899,"1,357",999,994,907,7,3,4,0,5,10,"21,315"
