Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,560",360,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,081"
12-Jul-14,"3,342","2,613",44,"3,174","1,750","1,151",90,45,52,59,55,47,47,47,65,74,80,63,194,95,48,48,42,"4,419",300,368,279,300,280,280,274,271,355,278,280,280,297,278,299,4279,"1,197",1000,"1,253",829,11,5,5,1,"20,783"
13-Jul-14,"3,342","2,611",44,"3,174","1,750","1,149",88,45,52,59,55,47,47,47,65,74,80,63,194,95,48,48,42,"4,419",300,368,279,300,279,280,274,271,355,279,280,280,297,278,299,4279,"1,197","1,000","1,253",829,11,5,5,1,"20,779"
14-Jul-14,"3,356","2,611",44,"3,179","1,708","1,182",88,45,54,60,56,49,48,49,70,80,81,63,197,101,48,49,44,"4,414",300,366,279,299,279,280,274,271,354,279,280,279,297,278,299,4282,"1,201",1000,"1,252",829,11,6,4,1,"20,787"
15-Jul-14,"3,366","2,621",44,"3,175","1,696","1,189",87,46,54,64,56,48,48,49,70,80,81,69,197,101,46,49,44,"4,401",300,365,278,299,279,279,274,278,351,273,280,277,294,277,297,4277,"1,202","1,000","1,249",826,11,6,4,1,"20,780"
16-Jul-14,"3,369","2,599",44,"3,166","1,712","1,195",87,46,55,64,56,48,48,49,69,79,84,70,199,101,48,48,44,"4,411",299,364,278,299,279,280,274,278,351,280,280,280,298,274,297,4272,"1,201",999,"1,247",825,10,6,3,1,"20,778"
17-Jul-14,"3,367","2,580",44,"3,173","1,726","1,203",87,47,55,64,56,48,46,48,75,80,87,72,196,101,49,48,44,"4,421",299,367,279,300,279,278,274,280,355,280,280,280,298,276,296,4274,"1,201",999,"1,250",824,10,6,3,1,"20,798"
18-Jul-14,"3,366","2,539",43,"3,199","1,733","1,208",87,47,55,65,55,49,45,46,75,77,86,73,205,101,48,48,46,"4,421",298,369,279,300,278,280,274,280,354,276,280,280,300,276,297,4274,"1,201",999,"1,249",825,10,6,3,1,"20,793"
19-Jul-14,"3,366","2,537",43,"3,199","1,733","1,204",87,47,55,65,55,49,44,45,75,77,86,72,204,101,48,48,46,"4,420",298,369,278,300,278,280,274,280,354,276,280,280,300,276,297,4274,"1,201",999,"1,249",825,11,6,4,1,"20,787"
20-Jul-14,"3,367","2,539",43,"3,195","1,732","1,203",87,47,55,65,55,49,44,45,75,77,86,72,204,101,48,47,46,"4,420",298,369,278,300,278,280,274,280,354,276,280,280,300,276,297,4273,"1,201",999,"1,249",824,11,6,4,1,"20,783"
21-Jul-14,"3,355","2,535",42,"3,202","1,715","1,205",86,47,54,60,59,50,43,47,73,79,86,74,203,102,49,47,46,"4,417",298,369,277,298,278,280,274,279,352,274,280,280,299,279,300,4297,"1,199",999,"1,276",823,9,6,2,1,"20,777"
