date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
1-Jun-15,"3,098",87,"2,442",21,135,"2,481",95,"1,369","1,105",49,52,50,51,56,54,0,49,74,66,90,64,187,87,44,52,80,"4,132",300,346,273,298,263,259,254,263,334,252,263,269,231,257,270,"3,966",0,"1,128",999,949,890,16,6,6,4,"18,947"
2-Jun-15,"3,095",89,"2,448",21,141,"2,488",99,"1,364","1,111",49,49,53,52,55,54,0,48,72,63,89,67,187,89,52,52,80,"4,144",300,347,272,299,261,259,261,264,335,251,266,271,228,253,277,"3,959",0,"1,132",999,933,895,16,6,6,4,"18,975"
3-Jun-15,"3,095",89,"2,455",22,142,"2,487",98,"1,357","1,111",49,49,53,52,55,54,0,48,72,63,89,67,187,89,52,52,80,"4,144",300,347,272,299,261,259,261,264,335,251,266,271,228,253,277,"3,959",0,"1,132",999,933,895,16,6,6,4,"18,975"
4-Jun-15,"3,093",90,"2,449",21,144,"2,502",97,"1,368","1,120",47,49,53,52,55,54,0,55,72,62,89,67,187,87,55,57,79,"4,140",297,347,271,299,259,257,259,261,332,256,266,271,228,253,284,"3,951",0,"1,131",999,932,889,16,6,6,4,"18,991"
5-Jun-15,"3,089",88,"2,468",22,145,"2,512",95,"1,362","1,109",47,49,52,51,51,56,0,55,73,61,86,65,187,89,54,54,79,"4,146",297,347,271,299,259,256,256,262,330,264,266,271,228,253,287,"3,953",0,"1,131",999,931,892,16,6,6,4,"19,005"
6-Jun-15,"3,089",87,"2,468",22,143,"2,507",95,"1,362","1,108",47,48,52,51,51,56,0,55,73,61,86,65,187,89,54,54,79,"4,144",297,347,270,299,259,256,256,262,330,263,266,271,228,253,287,"3,950",0,"1,130",998,930,892,16,6,6,4,"18,991"
7-Jun-15,"3,089",87,"2,465",22,141,"2,509",94,"1,366","1,108",47,48,52,51,51,56,0,55,73,61,86,65,187,89,54,54,79,"4,144",297,347,270,299,259,256,256,262,330,263,266,271,228,253,287,"3,950",0,"1,130",998,930,892,16,6,6,4,"18,991"
8-Jun-15,"3,174",87,"2,443",23,146,"2,516",93,"1,307","1,125",47,48,53,55,54,56,0,55,69,63,87,65,190,89,58,55,81,"4,165",295,347,270,300,260,259,255,264,331,260,268,272,228,266,290,"3,950",0,"1,131",998,931,890,16,6,6,4,"19,045"
9-Jun-15,"3,094",98,"2,448",23,145,"2,523",98,"1,383","1,118",48,47,52,55,52,56,0,55,70,62,88,66,190,87,55,54,81,"4,161",295,347,270,298,259,259,255,265,334,260,267,272,228,263,289,"3,955",0,"1,130",997,929,899,16,6,6,4,"19,062"
