date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
1-Aug-15,"3,109",88,"2,463",21,125,"2,546",96,"1,132","1,141",56,60,49,47,47,62,0,62,75,74,71,66,200,86,58,55,73,"4,267",301,360,274,300,279,273,267,278,343,272,273,281,204,270,292,"3,779",0,"1,129",991,910,749,13,4,6,3,"18,780"
2-Aug-15,"3,108",87,"2,462",20,124,"2,545",95,"1,131","1,137",55,59,48,46,47,62,0,62,75,74,71,66,200,86,58,55,73,"4,267",301,360,274,300,279,273,267,278,343,272,273,281,204,270,292,"3,779",0,"1,129",991,910,749,13,4,6,3,"18,768"
3-Aug-15,"3,111",82,"2,477",21,125,"2,541",96,"1,153","1,112",57,57,49,48,47,61,0,60,73,73,71,72,180,84,58,49,73,"4,260",300,359,274,300,279,270,267,276,353,269,272,279,204,270,288,"3,772",0,"1,128",990,905,749,14,5,6,3,"18,764"
4-Aug-15,"3,112",83,"2,478",22,125,"2,541",96,"1,153","1,112",57,57,49,48,47,61,0,60,73,73,71,72,180,84,58,49,73,"4,260",300,359,274,300,279,270,267,276,353,269,272,279,204,270,288,"3,772",0,"1,128",990,905,749,14,5,6,3,"18,768"
5-Aug-15,"3,112",83,"2,478",22,126,"2,542",97,"1,154","1,125",58,58,50,49,48,62,0,61,74,74,72,73,180,85,59,49,73,"4,260",300,359,274,300,279,270,267,276,353,269,272,279,204,270,288,"3,772",0,"1,128",990,905,749,14,5,6,3,"18,785"
6-Aug-15,"3,112",83,"2,478",22,126,"2,542",97,"1,154","1,124",58,58,50,49,48,62,0,61,74,74,72,73,180,85,59,49,72,"4,237",299,358,273,299,278,268,265,274,351,267,270,277,204,268,286,"3,764",0,"1,126",988,903,747,9,4,4,1,"18,748"
7-Aug-15,"3,112",83,"2,478",22,126,"2,542",97,"1,154","1,129",58,58,50,49,48,62,0,61,74,74,72,74,180,86,60,50,73,"4,242",300,359,274,300,279,268,265,274,351,267,270,277,204,268,286,"3,764",0,"1,126",988,903,747,9,4,4,1,"18,758"
8-Aug-15,"3,111",82,"2,476",21,124,"2,541",96,"1,152","1,120",57,57,49,48,47,61,0,60,73,73,72,74,180,86,60,50,73,"4,242",300,359,274,300,279,268,265,274,351,267,270,277,204,268,286,"3,764",0,"1,126",988,903,747,9,4,4,1,"18,738"
9-Aug-15,"3,110",81,"2,474",20,122,"2,540",95,"1,150","1,118",57,57,49,48,47,61,0,60,73,73,72,74,178,86,60,50,73,"4,240",300,359,274,300,279,268,265,274,351,267,270,277,202,268,286,"3,764",0,"1,126",988,903,747,9,4,4,1,"18,723"
