Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,539","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,232"
19-Oct-10,"3,257","3,150","3,176","1,601","1,511",74,83,71,91,77,75,85,79,93,88,79,66,218,85,83,70,94,"3,008",236,224,238,224,224,219,223,284,225,223,224,222,242,"5,331",902,"1,363",953,"1,199",914,10,5,3,2,5,9,"21,058"
20-Oct-10,"3,286","3,157","3,147","1,581","1,522",74,83,71,91,77,75,83,79,93,88,81,66,218,90,83,70,100,"3,013",236,224,239,224,224,219,224,284,225,224,224,224,242,"5,330",902,"1,363",952,"1,200",913,10,5,3,2,5,8,"21,059"
21-Oct-10,"3,287","3,160","3,163","1,580","1,544",74,83,75,89,79,79,83,79,102,85,81,70,218,95,81,70,101,"3,012",235,224,240,224,224,218,224,284,225,224,224,225,241,"5,310",902,"1,363",952,"1,200",893,10,5,3,2,5,7,"21,078"
22-Oct-10,"3,291","3,148","3,183","1,569","1,530",71,79,74,87,79,74,92,79,101,83,81,71,215,93,82,70,99,"3,012",234,226,240,224,224,220,223,283,225,224,224,224,241,"5,305",900,"1,362",952,"1,198",893,10,5,3,2,5,35,"21,088"
23-Oct-10,"3,291","3,149","3,181","1,569","1,527",71,79,74,87,79,74,91,79,101,83,81,70,215,93,82,70,98,"3,011",234,226,240,224,224,219,223,283,225,224,224,224,241,"5,303",900,"1,361",952,"1,197",893,10,5,3,2,5,36,"21,082"
24-Oct-10,"3,291","3,152","3,181","1,569","1,521",71,79,74,87,78,74,88,77,101,83,81,71,214,93,82,70,98,"3,011",234,226,240,224,224,219,223,283,225,224,224,224,241,"5,301",900,"1,359",952,"1,197",893,10,5,3,2,5,35,"21,076"
25-Oct-10,"3,291","3,157","3,181","1,589","1,543",74,83,72,88,79,74,89,80,100,85,81,70,218,97,83,71,99,"3,010",234,226,240,224,224,218,223,284,225,224,224,224,240,"5,301",900,"1,361",952,"1,195",893,10,5,3,2,5,8,"21,095"
26-Oct-10,"3,281","3,181","3,178","1,579","1,539",74,83,74,89,78,76,88,79,100,86,77,74,218,96,83,70,94,"3,012",234,226,240,224,224,219,224,284,225,224,224,224,240,"5,303",900,"1,361",950,"1,199",893,10,5,3,2,5,9,"21,097"
27-Oct-10,"3,279","3,202","3,167","1,584","1,528",74,81,75,88,77,76,88,78,99,83,77,74,217,97,82,70,92,"3,005",232,225,240,222,224,219,224,284,223,224,224,224,240,"5,299",903,"1,359",949,"1,196",892,10,5,3,2,5,9,"21,088"
