Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
10-Mar-15,"3,095",97,"2,358",22,122,"2,443",90,"1,553","1,041",48,54,48,50,47,52,42,50,52,60,74,50,163,100,51,52,48,"4,187",301,351,266,300,261,265,257,265,336,258,265,275,251,252,284,"3,995",0,"1,174",998,933,890,5,3,1,1,"19,008"
11-Mar-15,"3,095",97,"2,358",22,122,"2,443",90,"1,553","1,041",48,54,48,50,47,52,42,50,52,60,74,50,163,100,51,52,48,"4,187",301,351,266,300,261,265,257,265,336,258,265,275,251,252,284,"3,995",0,"1,174",998,933,890,5,3,1,1,"19,008"
12-Mar-15,"3,101",94,"2,297",22,126,"2,413",98,"1,581","1,052",48,54,51,50,46,52,42,49,55,60,74,50,169,102,51,51,48,"4,180",300,354,264,293,262,264,257,260,336,260,266,274,251,255,284,"3,984",0,"1,168",996,930,890,5,3,1,1,"18,953"
13-Mar-15,"3,098",94,"2,286",22,124,"2,406",98,"1,593","1,033",46,52,53,49,44,51,42,46,54,54,75,52,166,101,50,50,48,"3,965",300,351,264,300,261,264,257,260,335,260,265,274,251,254,69,"4,010",0,"1,166",996,959,889,5,3,1,1,"18,734"
14-Mar-15,"3,101",94,"2,286",22,124,"2,406",98,"1,615","1,030",46,52,53,49,44,51,42,46,54,54,75,49,166,101,50,50,48,"4,176",300,351,264,300,261,264,257,260,335,260,265,274,251,254,280,"4,009",0,"1,166",996,958,889,5,3,1,1,"18,966"
15-Mar-15,"3,195",94,"2,286",22,124,"2,406",98,"1,503","1,030",46,52,53,49,44,51,42,46,54,54,75,49,166,101,50,50,48,"4,179",300,351,264,300,261,264,257,260,335,260,265,274,251,254,283,"4,009",0,"1,166",996,958,889,5,3,1,1,"18,951"
16-Mar-15,"3,200",94,"2,286",22,124,"2,406",98,"1,531","1,039",46,54,52,54,45,50,42,48,53,58,75,50,161,101,51,51,48,"4,171",300,351,265,300,259,265,255,262,335,255,264,275,248,254,283,"4,001",0,"1,164",995,956,886,5,3,1,1,"18,977"
17-Mar-15,"3,106",92,"2,355",22,125,"2,412",96,"1,525","1,038",46,52,52,54,43,50,42,49,53,58,75,51,165,101,49,51,47,"4,187",300,354,267,300,256,266,255,271,336,255,268,274,248,255,282,"4,011",0,"1,162",995,960,894,5,3,1,1,"18,974"
18-Mar-15,"3,100",92,"2,368",22,125,"2,409",97,"1,544","1,034",48,52,52,54,43,50,42,48,52,57,73,51,164,102,49,50,47,"4,182",300,354,267,299,254,265,263,269,327,255,267,274,252,255,281,"4,008",0,"1,162",995,958,893,5,3,1,1,"18,986"
