Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,709"
11-Jan-02,"5,299","2,961","2,081","1,561","1,181",68,71,67,64,62,60,75,65,71,64,65,72,113,64,63,65,72,"1,986",0,217,219,216,229,238,216,217,217,217,"3,590",856,491,882,472,889,16,4,11,1,5,"18,680"
12-Jan-02,"5,298","2,959","2,080","1,559","1,183",68,71,67,64,63,60,75,65,71,64,65,72,113,64,64,65,72,"1,983",0,217,217,216,229,238,216,216,217,217,"3,590",856,491,882,472,889,16,4,11,1,5,"18,673"
13-Jan-02,"5,298","2,960","2,079","1,559","1,182",68,71,67,64,63,60,75,65,70,64,65,72,113,64,64,65,72,"1,983",0,217,217,216,229,238,216,216,217,217,"3,587",855,491,881,472,888,16,4,11,1,5,"18,669"
14-Jan-02,"5,290","2,962","2,072","1,563","1,285",73,74,75,72,74,69,75,72,74,72,65,75,122,74,72,72,75,"1,987",0,214,216,218,228,244,217,216,217,217,"3,595",859,491,887,471,887,17,5,11,1,5,"18,776"
15-Jan-02,"5,298","2,939","2,067","1,574","1,287",73,75,74,71,74,69,75,73,74,72,65,75,121,75,72,74,75,"1,981",0,214,216,217,226,240,217,217,217,217,"3,605",859,492,887,480,887,17,5,11,1,5,"18,773"
16-Jan-02,"5,287","2,967","2,069","1,561","1,281",73,74,74,71,74,68,74,72,73,72,65,74,121,75,74,72,75,"1,980",0,214,216,216,226,240,217,217,217,217,"3,600",859,492,885,479,885,17,5,11,1,5,"18,767"
17-Jan-02,"5,314","2,938","2,059","1,569","1,288",74,72,73,75,74,73,73,72,73,75,64,73,121,75,74,72,75,"1,980",0,214,216,216,226,240,217,217,217,217,"3,594",858,491,883,477,885,17,5,11,1,6,"18,765"
18-Jan-02,"5,319","2,914","2,075","1,559","1,207",68,69,71,65,66,67,64,74,72,67,66,73,118,68,64,70,65,"1,969",0,212,214,214,226,240,214,216,217,216,"3,587",857,491,880,475,884,16,4,11,1,6,"18,652"
19-Jan-02,"5,319","2,914","2,070","1,560","1,206",68,69,71,65,66,67,64,74,72,67,66,73,118,68,64,70,64,"1,968",0,212,214,214,225,240,214,216,217,216,"3,583",856,491,878,475,883,16,4,11,1,6,"18,642"
20-Jan-02,"5,318","2,913","2,071","1,560","1,206",68,69,71,65,66,67,64,74,72,66,66,73,118,68,64,70,65,"1,968",0,212,214,214,225,240,214,216,217,216,"3,581",856,490,877,475,883,16,4,11,1,6,"18,639"
