date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,781","1,454",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,82,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,226"
1-Jan-19,"3,275","3,864",36,0,"3,056","1,147","1,008",0,0,84,263,50,73,48,0,0,0,0,70,53,73,57,151,18,19,0,0,0,49,0,"3,756",239,291,269,240,199,200,268,277,260,268,267,280,173,269,256,"3,192",0,"1,272",999,0,921,9,0,5,4,23,2,17,4,0,0,"19,366"
2-Jan-19,"3,268","3,882",36,0,"3,055","1,118","1,026",0,0,84,273,60,73,48,0,0,0,0,68,53,73,57,151,18,19,0,0,0,49,0,"3,752",239,291,269,240,198,200,268,277,258,266,270,278,173,269,256,"3,191",0,"1,272",999,0,920,9,0,5,4,23,2,17,4,0,0,"19,360"
3-Jan-19,"3,273","3,863",36,0,"3,051","1,105","1,021",0,0,84,267,62,72,48,0,0,0,0,68,53,72,57,149,18,19,0,0,0,52,0,"3,760",238,291,270,240,198,200,267,279,258,269,267,277,178,269,259,"3,193",0,"1,268",999,0,926,9,0,5,4,23,2,17,4,0,0,"19,334"
4-Jan-19,"3,266","3,889",36,0,"3,055","1,074","1,028",0,0,84,265,62,77,48,0,0,0,0,68,53,72,56,153,19,19,0,0,0,52,0,"3,753",239,291,268,240,197,199,267,278,258,267,266,277,178,270,258,"3,192",0,"1,268",999,0,925,9,0,5,4,24,2,17,5,0,0,"19,326"
5-Jan-19,"3,261","3,889",36,0,"3,055","1,074","1,028",0,0,84,265,62,77,48,0,0,0,0,68,53,72,56,153,19,19,0,0,0,52,0,"3,752",239,290,268,240,197,199,267,278,258,267,266,277,178,270,258,"3,190",0,"1,267",998,0,925,9,0,5,4,24,2,17,5,0,0,"19,318"
6-Jan-19,"3,259","3,888",36,0,"3,051","1,074","1,024",0,0,84,263,62,77,48,0,0,0,0,68,53,72,56,153,19,17,0,0,0,52,0,"3,750",239,290,267,240,197,199,267,277,258,267,266,277,178,270,258,"3,189",0,"1,267",998,0,924,9,0,5,4,24,2,17,5,0,0,"19,304"
7-Jan-19,"3,251","3,874",36,0,"3,045","1,074","1,019",0,0,84,260,62,77,48,0,0,0,0,68,52,72,56,153,19,17,0,0,0,51,0,"3,738",239,289,267,239,195,199,264,277,258,266,264,277,177,269,258,"3,184",0,"1,266",995,0,923,8,0,4,4,23,2,16,5,0,0,"19,252"
8-Jan-19,"3,248","3,874",36,0,"3,045","1,096","1,011",0,0,84,254,62,76,48,0,0,0,0,68,52,71,56,153,19,17,0,0,0,51,0,"3,732",239,288,267,239,194,199,264,277,256,266,264,277,177,268,257,"3,181",0,"1,264",994,0,923,7,0,4,3,24,2,17,5,0,0,"19,254"
9-Jan-19,"3,246","3,870",35,0,"3,042","1,110","1,005",0,0,83,252,62,76,48,0,0,0,0,68,52,71,56,150,19,17,0,0,0,51,0,"3,724",239,287,265,238,194,199,263,277,254,266,263,277,177,268,257,"3,179",0,"1,263",993,0,923,14,0,4,3,15,2,8,5,0,0,"19,240"
10-Jan-19,"3,245","3,870",35,0,"3,040","1,117",998,0,0,83,249,61,76,48,0,0,0,0,67,52,71,56,149,19,16,0,0,0,51,0,"3,724",239,287,265,238,194,199,264,277,254,266,263,277,177,267,257,"3,175",0,"1,263",992,0,920,7,0,4,3,16,2,9,5,0,0,"19,227"
11-Jan-19,"3,250","3,856",34,0,"3,034","1,147",989,0,0,83,243,61,76,48,0,0,0,0,66,52,70,56,149,19,16,0,0,0,50,0,"3,721",239,286,265,238,194,199,264,277,254,266,262,277,177,266,257,"3,170",0,"1,262",991,0,917,7,0,4,3,15,2,8,5,0,0,"19,223"
12-Jan-19,"3,250","3,856",34,0,"3,034","1,147",987,0,0,83,241,61,76,48,0,0,0,0,66,52,70,56,149,19,16,0,0,0,50,0,"3,721",239,286,265,238,194,199,264,277,254,266,262,277,177,266,257,"3,170",0,"1,262",991,0,917,7,0,4,3,15,2,8,5,0,0,"19,221"
13-Jan-19,"3,250","3,854",36,0,"3,033","1,147",979,0,0,83,233,61,76,48,0,0,0,0,66,52,70,56,149,19,16,0,0,0,50,0,"3,720",239,286,265,238,194,199,264,277,254,266,262,277,177,265,257,"3,170",0,"1,262",991,0,917,7,0,4,3,15,2,8,5,0,0,"19,211"
14-Jan-19,"3,249","3,850",36,0,"3,029","1,170",966,0,0,83,228,61,76,48,0,0,0,0,66,52,69,56,148,19,11,0,0,0,49,0,"3,708",239,286,263,238,194,199,264,277,253,263,262,276,174,264,256,"3,167",0,"1,260",990,0,917,7,0,4,3,15,2,8,5,0,0,"19,197"
15-Jan-19,"3,246","3,848",36,0,"3,025","1,200",956,0,0,83,219,61,75,48,0,0,0,0,66,52,69,56,148,19,11,0,0,0,49,0,"3,706",239,285,262,238,194,199,264,277,253,263,262,276,174,264,256,"3,165",0,"1,258",990,0,917,7,0,4,3,15,2,8,5,0,0,"19,204"
16-Jan-19,"3,245","3,843",36,0,"3,026","1,273",942,0,0,80,213,61,74,48,0,0,0,0,66,52,68,56,147,19,9,0,0,0,49,0,"3,704",238,285,261,238,194,199,264,277,253,263,262,276,174,264,256,"3,164",0,"1,257",990,0,917,7,0,4,3,15,2,8,5,0,0,"19,255"
17-Jan-19,"3,242","3,830",36,0,"3,019","1,273",937,0,0,79,212,60,74,47,0,0,0,0,66,52,68,56,146,19,9,0,0,0,49,0,"3,696",239,282,260,238,193,199,264,276,252,263,262,276,173,264,255,"3,157",0,"1,253",989,0,915,7,0,4,3,15,2,8,5,0,0,"19,212"
