date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,882","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,691"
10-Oct-13,"3,358","3,287",39,"3,229","2,221","1,420",86,69,68,62,83,72,71,72,74,76,92,89,222,101,71,48,64,"4,424",298,366,280,299,277,280,275,281,355,278,278,281,297,279,300,"4,423",0,"1,200",996,"1,325",902,11,5,3,3,0,0,"22,412"
11-Oct-13,"3,358","3,297",39,"3,222","2,202","1,395",88,69,67,60,78,66,69,71,74,74,91,89,219,100,71,46,63,"4,425",298,367,278,299,278,280,275,280,355,278,281,281,297,278,300,"4,427",0,"1,199",995,"1,332",901,11,5,3,3,0,0,"22,376"
12-Oct-13,"3,356","3,295",39,"3,217","2,202","1,393",88,69,67,60,78,66,69,71,73,74,91,88,219,100,71,46,63,"4,420",298,367,278,298,278,280,275,279,355,278,280,281,295,278,300,"4,425",0,"1,198",995,"1,332",900,11,5,3,3,0,0,"22,358"
13-Oct-13,"3,354","3,291",39,"3,216","2,202","1,392",88,69,67,60,78,66,69,71,73,73,91,88,219,100,71,46,63,"4,420",298,367,278,298,278,280,275,279,355,278,280,281,295,278,300,"4,425",0,"1,198",995,"1,332",900,11,5,3,3,0,0,"22,350"
14-Oct-13,"3,357","3,307",39,"3,214","2,213","1,415",88,70,69,60,84,72,71,71,72,75,91,87,221,100,72,48,64,"4,413",298,367,276,298,279,279,275,278,354,275,280,281,295,279,299,"4,429",0,"1,199",993,"1,336",901,11,5,3,3,0,0,"22,398"
15-Oct-13,"3,371","3,302",39,"3,214","2,217","1,410",90,70,69,60,83,72,69,71,70,74,91,86,222,100,71,48,64,"4,417",297,369,278,297,279,279,275,280,354,277,278,281,294,279,300,"4,433",0,"1,200",993,"1,339",901,11,5,3,3,0,0,"22,414"
16-Oct-13,"3,367","3,280",39,"3,227","2,215","1,397",90,68,68,59,83,72,69,71,70,73,90,86,220,97,70,48,63,"4,427",298,369,280,299,279,280,274,280,355,277,279,281,300,277,299,"4,434",0,"1,198",998,"1,338",900,11,5,3,3,0,0,"22,397"
17-Oct-13,"3,357","3,267",40,"3,228","2,216","1,398",92,67,68,57,84,71,70,69,69,71,90,84,220,100,72,51,63,"4,430",298,369,280,300,279,280,274,280,355,277,279,281,300,278,300,"4,440",0,"1,200",999,"1,342",899,11,5,3,3,0,0,"22,387"
18-Oct-13,"3,349","3,279",39,"3,208","2,224","1,382",92,63,69,53,80,70,70,69,72,70,90,82,218,100,71,51,62,"4,426",297,368,280,300,280,280,274,280,354,276,279,281,300,277,300,"4,418",0,"1,200",997,"1,323",898,11,5,3,3,0,0,"22,336"
