date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,709"
11-Apr-02,"5,325","3,025","2,051","1,623","1,281",75,74,75,74,75,75,74,74,75,75,74,61,103,74,74,75,74,"1,991",0,213,217,217,229,244,217,217,219,218,"3,588",853,500,885,486,864,16,5,9,2,6,"18,906"
12-Apr-02,"5,321","3,025","2,048","1,623","1,254",72,71,75,71,75,74,74,71,72,75,74,61,101,74,70,71,73,"1,995",0,218,217,215,229,244,217,217,219,219,"3,597",851,500,891,491,864,16,5,9,2,6,"18,885"
13-Apr-02,"5,321","3,023","2,048","1,623","1,254",72,71,75,71,75,74,74,71,72,75,74,61,101,74,70,71,73,"1,995",0,218,217,215,229,244,217,217,219,219,"3,596",850,500,891,491,864,16,5,9,2,6,"18,882"
14-Apr-02,"5,319","3,022","2,047","1,607","1,255",72,71,75,71,75,75,74,71,72,75,74,61,101,74,70,71,73,"1,995",0,218,217,215,229,244,217,217,219,219,"3,595",850,499,891,492,863,16,5,9,2,6,"18,862"
15-Apr-02,"5,320","3,027","2,055","1,587","1,274",75,74,73,74,75,74,75,71,75,75,74,61,102,74,74,75,73,"1,992",0,218,217,214,230,244,217,214,219,219,"3,599",859,499,890,491,860,16,5,9,2,6,"18,876"
16-Apr-02,"5,341","3,035","2,054","1,571","1,270",75,74,73,74,75,73,75,70,75,75,74,60,103,73,74,75,72,"1,992",0,218,217,214,230,244,218,214,218,219,"3,597",860,498,890,491,858,16,5,9,2,6,"18,882"
17-Apr-02,"5,323","3,008","2,064","1,612","1,278",75,74,75,75,75,75,75,70,75,75,75,60,107,71,75,74,72,"1,993",0,222,216,212,230,244,217,215,218,219,"3,592",859,497,890,490,856,16,5,9,2,6,"18,892"
18-Apr-02,"5,341","3,005","2,061","1,598","1,297",75,75,75,73,75,75,75,75,74,75,74,64,114,75,75,73,75,"1,985",0,218,216,210,229,244,217,214,218,219,"3,588",857,496,890,490,855,16,5,9,2,6,"18,897"
19-Apr-02,"5,336","2,988","2,057","1,610","1,290",75,75,73,72,75,75,75,72,75,74,73,64,117,75,74,71,75,"1,992",0,220,215,215,226,244,217,218,218,219,"3,596",859,500,890,491,856,16,5,9,2,6,"18,891"
20-Apr-02,"5,336","2,989","2,056","1,611","1,290",75,75,73,72,75,75,75,72,75,74,73,64,117,75,74,71,75,"1,992",0,220,215,215,226,244,217,218,218,219,"3,595",858,500,890,491,856,16,5,9,2,6,"18,891"
