Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,751","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,"21,211"
13-Apr-03,"5,649","3,157","2,134","2,055","1,285",71,74,73,73,72,72,71,73,74,74,58,65,142,74,75,71,73,"2,532",228,230,231,222,230,234,228,230,232,235,232,"3,334",668,985,714,967,11,4,5,2,5,"20,162"
14-Apr-03,"5,653","3,170","2,125","2,048","1,305",75,75,75,73,75,74,74,75,74,74,60,66,140,73,75,72,75,"2,536",226,230,230,228,229,234,228,229,235,235,232,"3,328",667,980,714,967,12,6,4,2,6,"20,183"
15-Apr-03,"5,656","3,175","2,144","2,056","1,310",74,75,74,75,75,75,74,75,75,75,60,65,143,74,75,72,74,"2,526",225,229,230,228,225,234,228,227,234,235,231,"3,329",668,979,715,967,12,6,4,2,6,"20,214"
16-Apr-03,"5,653","3,164","2,145","2,086","1,302",73,73,75,74,75,74,75,75,74,75,59,62,142,75,75,72,74,"2,525",224,229,229,227,231,234,228,227,234,231,231,"3,347",674,979,717,977,12,6,4,2,6,"20,240"
17-Apr-03,"5,647","3,130","2,149","2,111","1,298",73,73,74,74,74,74,75,74,75,75,60,62,140,75,75,71,74,"2,544",230,229,228,231,231,234,232,231,234,230,234,"3,363",683,977,716,987,12,6,4,2,6,"20,260"
18-Apr-03,"5,655","3,125","2,148","2,114","1,292",72,73,74,74,74,74,74,74,75,74,59,62,139,74,74,71,75,"2,550",230,234,228,231,233,234,231,231,234,230,234,"3,374",682,989,716,987,12,6,4,2,6,"20,276"
19-Apr-03,"5,655","3,125","2,148","2,114","1,293",72,73,74,74,74,74,74,74,75,75,59,62,139,74,74,71,75,"2,548",230,234,228,230,233,234,231,230,234,230,234,"3,373",681,989,716,987,12,6,4,2,6,"20,274"
20-Apr-03,"5,655","3,126","2,147","2,114","1,291",72,73,74,74,74,74,72,74,75,75,59,62,139,74,74,71,75,"2,548",230,234,228,230,233,234,231,230,234,230,234,"3,373",681,989,716,987,12,6,4,2,6,"20,272"
21-Apr-03,"5,645","3,130","2,149","2,107","1,297",73,73,75,75,74,73,72,74,75,75,60,62,140,75,75,72,74,"2,560",230,234,234,231,232,235,231,230,234,235,234,"3,373",683,987,717,986,12,6,4,2,6,"20,279"
22-Apr-03,"5,645","3,124","2,166","2,093","1,299",73,75,75,75,74,73,75,74,75,74,59,62,140,75,75,71,74,"2,561",229,234,232,231,231,234,233,233,235,235,234,"3,376",683,986,716,991,12,6,4,2,6,"20,282"
23-Apr-03,"5,659","3,125","2,163","2,090","1,304",73,74,74,75,74,75,75,74,75,74,59,61,147,74,75,71,74,"2,570",229,235,230,235,236,234,232,235,235,234,235,"3,376",682,986,717,991,12,6,4,2,6,"20,305"
