Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,744","3,233","2,214","2,327","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,196"
13-Feb-05,"4,448","3,015","2,124","1,941","1,642",82,96,94,95,84,93,102,96,99,82,65,73,188,96,98,100,99,"2,732",249,248,246,250,242,249,250,250,250,249,249,"4,747",959,874,991,128,821,974,14,6,5,3,5,58,"20,726"
14-Feb-05,"4,465","3,033","2,107","1,948","1,688",92,101,95,95,90,95,99,100,102,88,64,73,197,97,98,101,101,"2,730",248,248,246,250,241,247,250,250,250,250,250,"4,751",960,874,990,128,826,973,14,6,5,3,5,5,"20,746"
15-Feb-05,"4,457","3,065","2,086","1,941","1,690",92,99,94,96,92,94,98,100,102,87,63,73,197,102,98,101,102,"2,727",246,247,247,250,240,248,250,250,249,250,250,"4,771",958,874,994,128,825,992,14,6,5,3,5,3,"20,759"
16-Feb-05,"4,460","3,074","2,094","1,940","1,704",92,99,96,99,101,94,98,98,102,89,63,73,198,101,98,101,102,"2,723",246,251,244,249,240,248,249,249,249,250,248,"4,769",958,874,992,128,825,992,14,6,5,3,5,3,"20,786"
17-Feb-05,"4,468","3,089","2,103","1,915","1,705",92,99,96,98,101,94,101,98,102,87,65,73,198,100,98,101,102,"2,731",250,249,247,249,244,245,250,249,250,250,248,"4,768",958,874,993,128,829,986,14,6,5,3,5,5,"20,803"
18-Feb-05,"4,447","3,111","2,122","1,870","1,643",86,94,95,92,99,93,96,92,101,85,61,68,189,98,96,99,99,"2,736",250,250,249,249,243,247,248,250,250,250,250,"4,772",959,872,991,128,838,984,14,6,5,3,5,59,"20,779"
19-Feb-05,"4,447","3,108","2,119","1,870","1,642",86,94,95,92,99,93,96,92,101,85,61,68,189,97,96,99,99,"2,734",250,250,249,249,242,247,248,249,250,250,250,"4,772",959,872,991,128,838,984,14,6,5,3,5,59,"20,770"
20-Feb-05,"4,446","3,107","2,118","1,870","1,641",86,94,95,92,99,92,96,92,101,85,61,68,189,97,96,99,99,"2,732",250,250,248,249,241,247,248,249,250,250,250,"4,770",958,872,990,128,838,984,14,6,5,3,5,59,"20,762"
21-Feb-05,"4,442","3,105","2,117","1,874","1,696",92,100,96,98,99,92,101,98,101,87,64,72,195,100,98,101,102,"2,731",250,250,248,249,241,247,248,248,250,250,250,"4,767",957,872,990,128,837,983,14,6,5,3,5,3,"20,754"
22-Feb-05,"4,456","3,133","2,114","1,839","1,696",90,102,96,98,99,90,101,98,101,87,64,74,194,100,99,101,102,"2,733",250,250,248,250,236,250,250,249,250,250,250,"4,775",958,872,995,128,837,985,14,6,5,3,5,5,"20,770"
23-Feb-05,"4,470","3,141","2,108","1,810","1,703",92,102,95,97,99,92,99,98,101,92,64,74,196,101,98,101,102,"2,733",250,249,247,250,237,251,250,250,249,250,250,"4,785",958,875,995,128,841,988,13,5,5,3,5,6,"20,774"
24-Feb-05,"4,458","3,155","2,129","1,772","1,704",92,100,92,100,97,95,95,102,101,92,64,75,195,101,100,101,102,"2,730",248,249,249,248,240,251,249,249,249,250,248,"4,795",959,875,995,128,846,992,13,5,5,3,5,6,"20,767"
