Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,179"
18-May-19,"3,248","3,709",28,0,"2,651","1,401","1,072",0,0,77,295,68,53,54,0,0,0,0,72,49,79,65,157,10,34,0,0,0,59,0,"4,303",297,290,276,306,336,278,307,280,348,278,278,279,171,279,300,"3,202",0,"1,274",997,0,931,7,0,5,2,25,5,17,3,0,0,"19,646"
19-May-19,"3,248","3,710",28,0,"2,650","1,401","1,071",0,0,77,294,68,53,54,0,0,0,0,72,49,79,65,157,10,34,0,0,0,59,0,"4,303",297,290,276,306,336,278,307,280,348,278,278,279,171,279,300,"3,200",0,"1,273",997,0,930,7,0,5,2,25,5,17,3,0,0,"19,643"
20-May-19,"3,242","3,752",29,0,"2,647","1,404","1,083",0,0,77,310,68,53,54,0,0,0,0,71,50,77,65,155,10,34,0,0,0,59,0,"4,299",299,289,274,306,335,280,306,279,348,279,278,279,171,278,298,"3,194",0,"1,270",997,0,927,8,0,5,3,23,5,17,1,0,0,"19,681"
21-May-19,"3,222","3,791",29,0,"2,649","1,378","1,074",0,0,77,306,68,53,54,0,0,0,0,70,50,77,64,155,10,31,0,0,0,59,0,"4,312",297,293,277,310,333,280,314,279,351,279,280,278,165,279,297,"3,190",0,"1,269",994,0,927,8,0,5,3,21,3,17,1,0,0,"19,674"
22-May-19,"3,219","3,782",29,0,"2,640","1,342","1,083",0,0,77,312,66,53,53,0,0,0,0,70,50,77,64,153,10,39,0,0,0,59,0,"4,308",300,292,275,310,340,279,314,279,347,279,280,277,164,274,298,"3,202",0,"1,281",993,0,928,8,0,5,3,23,5,17,1,0,0,"19,636"
23-May-19,"3,214","3,787",29,0,"2,649","1,356","1,086",0,0,77,312,66,53,53,0,0,0,0,70,54,77,64,152,10,39,0,0,0,59,0,"4,307",300,294,277,310,338,278,314,279,344,279,280,279,163,274,298,"3,210",0,"1,280","1,002",0,928,8,0,5,3,25,5,19,1,0,0,"19,671"
24-May-19,"3,221","3,784",29,0,"2,647","1,367","1,086",0,0,79,310,66,53,53,0,0,0,0,68,54,76,64,155,12,39,0,0,0,57,0,"4,296",299,294,277,308,337,277,314,278,342,278,280,278,163,273,298,"3,207",0,"1,280","1,001",0,926,7,0,5,3,25,5,19,1,0,0,"19,669"
25-May-19,"3,221","3,783",29,0,"2,646","1,367","1,084",0,0,79,308,66,53,53,0,0,0,0,68,54,76,64,155,12,39,0,0,0,57,0,"4,295",299,294,277,308,337,277,314,278,342,278,280,277,163,273,298,"3,206",0,"1,280","1,001",0,925,8,0,5,3,19,5,12,1,0,1,"19,658"
26-May-19,"3,220","3,781",29,0,"2,645","1,367","1,082",0,0,79,308,66,53,51,0,0,0,0,68,54,76,64,155,12,39,0,0,0,57,0,"4,294",299,294,277,308,337,277,314,278,342,278,280,277,163,273,297,"3,206",0,"1,280","1,001",0,925,8,0,5,3,19,5,12,1,0,1,"19,651"
27-May-19,"3,219","3,782",29,0,"2,645","1,367","1,074",0,0,79,298,66,53,53,0,0,0,0,68,54,76,64,155,12,39,0,0,0,57,0,"4,294",299,294,277,308,337,277,314,278,342,278,280,277,163,273,297,"3,205",0,"1,280","1,001",0,924,8,0,5,3,19,5,12,1,0,1,"19,642"
28-May-19,"3,221","3,816",30,0,"2,650","1,310","1,053",0,0,76,289,65,51,51,0,0,0,0,71,54,77,64,150,11,37,0,0,0,57,0,"4,281",299,294,277,307,337,278,312,278,341,276,278,276,162,270,296,"3,194",0,"1,275",999,0,920,9,0,6,3,23,7,12,1,0,3,"19,587"
29-May-19,"3,207","3,785",30,0,"2,645","1,352","1,078",0,0,77,318,64,50,51,0,0,0,0,69,54,77,63,148,11,37,0,0,0,59,0,"4,291",300,293,277,310,336,281,314,280,347,276,278,275,161,267,296,"3,199",0,"1,275",999,0,925,9,0,6,3,21,5,12,1,0,3,"19,617"
30-May-19,"3,209","3,766",30,0,"2,638","1,367","1,085",0,0,77,315,64,50,51,0,0,0,0,70,54,83,63,153,13,33,0,0,0,59,0,"4,277",300,292,276,308,336,280,310,279,343,273,280,280,161,265,294,"3,198",0,"1,275",997,0,926,8,0,5,3,27,5,18,1,0,3,"19,605"
31-May-19,"3,207","3,788",30,0,"2,646","1,358","1,038",0,0,70,312,57,48,48,0,0,0,0,65,46,83,63,142,13,32,0,0,0,59,0,"4,279",300,292,275,307,339,280,310,279,343,275,280,279,161,265,294,"3,193",0,"1,271",997,0,925,8,0,5,3,26,5,18,1,0,2,"19,573"
Avg Population,"3,246",3716,29,0,2650,1402,1070,0,0,80,306,65,48,49,0,0,0,0,69,50,79,61,157,10,37,0,0,0,59,0,4296,299,292,276,307,337,279,310,278,345,278,279,279,164,275,299,3202,0,1277,998,0,927,8,0,5,3,25,5,16,2,0,0,19645
