Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,832","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,641"
28-Feb-13,"3,334","3,224",26,"3,226","2,261","1,542",92,77,73,77,81,70,73,82,83,75,91,86,247,96,78,74,87,"4,367",300,369,279,300,280,281,274,280,338,280,280,280,245,282,299,"4,298",0,"1,124",998,"1,273",903,22,4,5,4,0,9,"22,300"
Avg Population,"3,345","3,208",24,"3,231","2,200","1,503",91,72,73,76,77,74,76,76,79,76,89,85,238,94,77,69,81,"4,352",299,367,278,300,278,279,274,279,338,278,279,279,248,278,299,"4,294",0,"1,116",999,"1,276",903,33,5,5,4,0,19,"22,189"
