Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,711","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750",0,"1,000","1,000",750,"1,000",24,6,12,6,6,"21,171"
14-Mar-03,"5,605","3,204","2,166","2,046","1,244",72,66,71,74,72,72,71,72,71,74,53,50,143,71,72,69,71,"2,483",226,226,225,226,224,226,226,226,227,225,226,"3,371",0,686,986,713,986,12,6,5,1,5,"20,136"
15-Mar-03,"5,603","3,205","2,166","2,046","1,243",72,66,71,74,72,72,71,72,71,73,53,50,143,71,72,69,71,"2,482",225,226,225,226,224,226,226,226,227,225,226,"3,369",0,685,985,713,986,12,6,5,1,5,"20,131"
16-Mar-03,"5,606","3,205","2,165","2,046","1,237",72,66,71,74,72,72,71,72,71,74,53,49,143,71,67,69,70,"2,482",225,226,225,226,224,226,226,226,227,225,226,"3,366",0,685,985,712,984,12,6,5,1,5,"20,124"
17-Mar-03,"5,593","3,172","2,173","2,051","1,277",74,71,75,75,74,75,73,73,75,72,56,52,145,73,68,72,74,"2,483",225,226,226,226,223,226,226,226,227,226,226,"3,362",0,682,986,709,985,13,6,5,2,6,"20,130"
18-Mar-03,"5,613","3,155","2,164","2,085","1,273",74,69,75,75,73,75,71,73,74,72,55,52,145,75,68,72,75,"2,485",225,226,226,226,225,226,226,226,227,226,226,"3,355",0,682,983,706,984,13,6,5,2,6,"20,149"
19-Mar-03,"5,603","3,164","2,172","2,079","1,283",75,73,75,75,73,75,70,73,75,75,56,52,147,75,68,71,75,"2,487",226,226,226,226,226,226,226,226,227,226,226,"3,356",0,681,982,710,983,13,6,5,2,6,"20,163"
20-Mar-03,"5,595","3,137","2,164","2,113","1,290",75,73,74,75,73,75,73,75,75,74,58,52,150,75,68,71,74,"2,483",226,224,224,226,226,226,226,226,227,226,226,"3,353",0,681,982,709,981,13,6,5,2,6,"20,154"
21-Mar-03,"5,604","3,118","2,140","2,146","1,267",74,69,73,72,69,75,71,70,74,72,55,60,144,75,73,69,72,"2,481",224,226,224,226,225,226,226,226,226,226,226,"3,357",0,681,980,709,987,13,6,5,2,5,"20,131"
22-Mar-03,"5,603","3,119","2,138","2,146","1,264",74,69,72,72,69,74,71,70,74,71,55,60,144,75,73,69,72,"2,480",224,226,224,226,224,226,226,226,226,226,226,"3,356",0,681,979,709,987,13,6,5,2,5,"20,124"
23-Mar-03,"5,601","3,121","2,136","2,146","1,265",74,69,72,71,69,75,71,70,74,71,55,60,145,75,73,69,72,"2,480",224,226,224,226,224,226,226,226,226,226,226,"3,355",0,681,978,709,987,13,6,5,2,5,"20,122"
24-Mar-03,"5,623","3,109","2,130","2,137","1,295",74,73,73,74,72,75,70,75,75,71,58,62,150,75,75,69,74,"2,483",226,226,225,226,225,226,226,226,226,225,226,"3,363",0,681,986,709,987,13,6,5,2,6,"20,159"
25-Mar-03,"5,638","3,099","2,126","2,112","1,301",74,74,74,75,75,75,70,74,75,70,58,61,150,75,74,72,75,"2,482",226,226,224,226,226,226,226,226,226,225,225,"3,369",0,683,986,715,985,13,6,5,2,6,"20,146"
26-Mar-03,"5,651","3,105","2,130","2,109","1,303",74,73,73,75,75,75,74,74,75,70,59,62,149,75,73,72,75,"2,482",226,226,224,226,226,226,226,226,226,225,225,"3,367",0,683,985,714,985,13,6,5,2,6,"20,166"
