Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,667","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,467"
19-Mar-12,"3,256","3,088","3,175","2,223","1,453",88,71,76,79,70,80,68,80,89,79,92,89,181,82,75,66,88,"4,279",299,294,282,299,280,279,275,280,340,278,279,279,237,278,300,"4,132",0,"1,306",998,944,884,11,4,3,4,0,6,"21,623"
20-Mar-12,"3,275","3,095","3,174","2,226","1,453",88,71,76,78,70,83,68,80,90,79,92,89,178,82,75,66,88,"4,271",296,293,280,298,278,280,275,280,339,279,279,279,237,277,301,"4,134",0,"1,305",998,945,886,11,4,3,4,0,5,"21,644"
21-Mar-12,"3,267","3,065","3,178","2,255","1,481",92,69,75,80,70,85,69,79,92,79,93,91,185,91,77,67,87,"4,276",297,294,278,297,279,279,273,280,339,280,280,280,241,278,301,"4,143",0,"1,309","1,000",949,885,11,4,3,4,0,7,"21,683"
22-Mar-12,"3,276","3,075","3,172","2,251","1,477",92,69,77,79,84,86,69,79,92,77,92,89,185,76,77,67,87,"4,281",297,296,277,297,280,280,274,280,340,280,280,279,240,280,301,"4,143",0,"1,309","1,000",948,886,11,4,3,4,0,6,"21,692"
23-Mar-12,"3,264","3,060","3,185","2,251","1,487",92,67,76,77,83,85,72,76,91,75,92,88,184,100,76,66,87,"4,273",297,296,279,296,278,279,274,280,340,280,280,278,239,279,298,"4,164",0,"1,329","1,000",950,885,10,4,2,4,0,29,"21,723"
24-Mar-12,"3,262","3,058","3,183","2,256","1,487",92,67,76,77,83,85,72,76,91,75,92,88,184,100,76,66,87,"4,272",297,296,279,296,278,279,274,280,340,280,280,278,238,279,298,"4,162",0,"1,327","1,000",950,885,10,4,2,4,0,30,"21,720"
25-Mar-12,"3,260","3,057","3,180","2,256","1,487",92,67,76,77,83,85,72,76,91,75,92,88,184,100,76,66,87,"4,271",297,296,279,295,278,279,274,280,340,280,280,278,238,279,298,"4,161",0,"1,327","1,000",950,884,10,4,2,4,0,31,"21,713"
26-Mar-12,"3,257","3,058","3,175","2,238","1,485",92,63,76,75,83,85,74,78,91,77,92,87,184,100,78,66,84,"4,271",296,296,278,295,279,280,274,280,340,278,280,279,236,279,301,"4,162",0,"1,327",999,952,884,12,5,3,4,0,4,"21,662"
27-Mar-12,"3,271","3,064","3,185","2,224","1,482",92,62,79,75,81,85,74,78,91,77,92,84,184,99,79,66,84,"4,269",296,294,278,295,280,280,274,280,340,278,280,279,236,279,300,"4,172",0,"1,326",999,963,884,12,5,3,4,0,6,"21,685"
