date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,503","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,737"
1-Jul-09,"4,052","3,257","2,967","1,551","1,687",85,89,88,94,91,91,96,83,93,82,85,85,251,89,96,92,97,"2,908",278,266,265,250,259,265,266,264,265,265,265,"5,491",952,"1,354",983,"1,226",976,11,6,4,1,6,13,"21,943"
2-Jul-09,"4,059","3,220","2,963","1,576","1,701",85,89,88,93,98,95,96,83,92,81,86,85,250,102,95,90,93,"2,913",280,266,265,250,260,265,266,264,266,265,266,"5,487",950,"1,355",984,"1,222",976,11,6,4,1,6,9,"21,945"
3-Jul-09,"4,059","3,186","2,963","1,603","1,693",84,88,88,92,98,95,95,83,92,81,86,85,249,101,94,90,92,"2,915",279,266,265,250,260,266,266,266,266,265,266,"5,501",958,"1,362",983,"1,222",976,11,6,4,1,6,8,"21,945"
4-Jul-09,"4,059","3,184","2,963","1,603","1,689",84,88,88,92,96,95,95,82,92,81,86,85,249,101,94,90,91,"2,913",278,266,265,250,260,265,266,266,266,265,266,"5,497",958,"1,360",983,"1,222",974,11,6,4,1,6,10,"21,935"
5-Jul-09,"4,057","3,185","2,963","1,603","1,688",84,88,88,92,95,95,95,82,92,81,86,85,249,101,94,90,91,"2,912",278,266,265,249,260,265,266,266,266,265,266,"5,496",957,"1,360",983,"1,222",974,11,6,4,1,6,9,"21,930"
6-Jul-09,"4,055","3,185","2,962","1,603","1,688",84,88,88,92,96,95,95,82,92,81,85,85,249,101,94,90,91,"2,909",277,265,265,249,260,265,266,265,266,265,266,"5,493",957,"1,359",983,"1,221",973,11,6,4,1,6,7,"21,919"
7-Jul-09,"4,055","3,178","2,987","1,594","1,680",81,88,88,91,90,94,94,82,96,86,85,82,247,99,93,93,91,"2,912",280,265,265,250,260,265,265,266,265,265,266,"5,490",956,"1,360",983,"1,217",974,11,6,4,1,6,9,"21,922"
8-Jul-09,"4,006","3,184","3,001","1,566","1,705",80,94,91,90,89,93,92,94,98,85,84,80,249,99,94,97,96,"2,913",280,265,266,250,259,265,266,266,265,265,266,"5,491",950,"1,361",983,"1,223",974,11,6,4,1,6,7,"21,890"
9-Jul-09,"3,983","3,205","3,004","1,539","1,676",78,93,89,90,84,93,89,93,97,84,84,78,246,96,89,97,96,"2,913",280,265,266,250,259,265,266,266,265,265,266,"5,489",955,"1,357",983,"1,221",973,10,5,4,1,6,7,"21,832"
