Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Mar-04,"5,669","3,175","2,087","2,191","1,602",90,95,90,70,91,73,78,100,101,91,56,82,212,99,101,74,99,"2,743",250,250,249,250,248,250,250,249,249,249,249,"3,425",727,990,720,988,14,6,5,3,5,6,"20,917"
2-Mar-04,"5,665","3,213","2,108","2,171","1,601",90,95,90,70,91,73,78,98,101,91,56,82,213,99,101,74,99,"2,743",250,250,249,250,248,250,250,249,249,249,249,"3,423",726,989,722,986,14,6,5,3,5,5,"20,948"
3-Mar-04,"5,658","3,231","2,104","2,174","1,610",92,96,90,70,89,73,78,102,101,92,56,87,212,98,101,74,99,"2,733",248,248,249,250,247,250,249,248,247,249,248,"3,425",726,993,722,984,14,6,5,3,5,3,"20,957"
4-Mar-04,"5,662","3,255","2,104","2,142","1,602",90,97,90,70,89,73,77,101,101,90,58,86,210,98,97,74,101,"2,729",245,248,249,250,248,250,249,247,246,250,247,"3,418",725,989,722,982,14,6,5,3,5,4,"20,935"
5-Mar-04,"5,658","3,283","2,052","2,161","1,551",86,97,89,66,86,69,73,99,102,85,55,85,202,94,90,72,101,"2,742",250,249,249,250,247,250,250,250,250,250,247,"3,414",725,989,720,980,14,6,5,3,5,50,"20,930"
6-Mar-04,"5,656","3,278","2,053","2,161","1,552",86,97,89,65,86,69,73,99,102,85,55,85,202,96,91,72,100,"2,742",250,249,249,250,247,250,250,250,250,250,247,"3,413",724,989,720,980,14,6,5,3,5,51,"20,925"
7-Mar-04,"5,655","3,280","2,051","2,161","1,554",86,97,89,65,86,70,73,99,102,85,55,85,202,96,92,72,100,"2,740",250,249,249,248,247,250,250,250,250,250,247,"3,413",724,989,720,980,14,6,5,3,5,50,"20,923"
8-Mar-04,"5,671","3,283","2,037","2,164","1,595",90,97,90,67,91,73,77,99,101,89,58,85,213,98,93,73,101,"2,739",250,247,247,248,250,250,249,250,250,250,248,"3,410",724,989,720,977,14,6,5,3,5,9,"20,927"
9-Mar-04,"5,661","3,305","2,025","2,135","1,606",90,97,95,67,94,74,77,99,101,91,59,85,210,100,93,73,101,"2,742",250,250,247,250,250,250,249,250,250,250,246,"3,429",724,993,726,986,14,6,5,3,5,7,"20,929"
10-Mar-04,"5,706","3,252","2,027","2,136","1,606",90,97,94,67,94,74,77,99,101,91,58,85,208,98,99,73,101,"2,731",250,239,249,250,246,249,250,250,250,250,248,"3,442",724,992,731,995,14,6,5,3,5,7,"20,926"
11-Mar-04,"5,696","3,253","2,024","2,146","1,612",90,98,95,66,94,74,77,102,100,90,58,85,208,101,99,73,102,"2,735",249,243,249,250,246,250,250,249,250,250,249,"3,446",723,995,735,993,14,6,5,3,5,5,"20,936"
12-Mar-04,"5,707","3,244","2,023","2,136","1,571",87,96,94,66,92,72,77,100,99,90,57,82,198,98,95,73,95,"2,745",249,250,249,250,248,250,250,250,250,250,249,"3,445",725,995,732,993,13,6,4,3,5,50,"20,939"
13-Mar-04,"5,708","3,243","2,023","2,136","1,571",87,96,94,66,92,72,77,100,99,90,57,82,198,98,95,73,95,"2,744",249,249,249,250,248,250,250,250,250,250,249,"3,445",725,995,732,993,13,6,4,3,5,47,"20,935"
