"Security Staff by Rank 
Authorized 
  
Filled","","",""
"Cadets","0","","0"
"CO Trainee","535","","504"
"CO I","391","","363"
"CO II","228","","191"
"CO III","216","","156"
"CO IV","827","","607"
"Correctional Supervisor","193","","154"
"Correctional Commander","74","","67"
"Correctional Administrator","0","","0"
"Deputy Warden","11","","11"
"Warden","9","","8"
"Field Worker","26","","22"
"FO I","34","","28"
"FO II","56","","49"
"FO III","139","","133"
"TOTAL","2,739","","2,293"
