"County","Offenders"
"Adams","2"
"Alcorn","12"
"Amite","5"
"Attala","0"
"Benton","3"
"Bolivar","8"
"Calhoun","3"
"Carroll","2"
"Chickasaw","8"
"Choctaw","1"
"Claiborne","0"
"Clarke","0"
"Clay","7"
"Coahoma","9"
"Copiah","5"
"Covington","3"
"Desoto","43"
"Forrest","21"
"Franklin","0"
"George","3"
"Greene","3"
"Grenada","3"
"Hancock","32"
"Harrison","138"
"Hinds","20"
"Holmes","2"
"Humphreys","0"
"Issaquena","0"
"Itawamba","7"
"Jackson","34"
"Jasper","4"
"Jefferson Davis","0"
"Jefferson","3"
"Jones","33"
"Kemper","1"
"Lafayette","29"
"Lamar","17"
"Lauderdale","19"
"Lawrence","4"
"Leake","6"
"Lee","44"
"Leflore","10"
"Lincoln","24"
"Lowndes","25"
"Madison","40"
"Marion","31"
"Marshall","31"
"Monroe","9"
"Montgomery","1"
"Neshoba","2"
"Newton","2"
"Noxubee","2"
"Oktibbeha","19"
"Panola","7"
"Pearl","72"
"Perry","7"
"Pike","38"
"Pontotoc","16"
"Prentiss","3"
"Quitman","0"
"Rankin","46"
"Scott","2"
"Sharkey","0"
"Simpson","1"
"Smith","3"
"Stone","14"
"Sunflower","5"
"Tallahatchie","0"
"Tate","4"
"Tippah","2"
"Tishomingo","3"
"Tunica","1"
"Union","17"
"Walthall","12"
"Warren","14"
"Washington","36"
"Wayne","0"
"Webster","1"
"Wilkinson","0"
"Winston","2"
"Yalobusha","5"
"Yazoo","0"
"TOTAL","1,041"
