"Race","Male","Female","Total","Percent"
"White","407","49","456","44.10%"
"Black","528","38","566","54.74%"
"Hispanic","8","2","10","0.97%"
"Other","1","1","2","0.19%"
"Total","944","90","1034","100.00%"
