"OFFENSE","Average Sentence Length in Years"
"CAPITAL RAPE","17.5"
"CHILD ENDANGERMENT","9.5"
"CHILD MOLESTATION","6.6"
"CHILD PORNOGRAPHY","5.0"
"ENTICE CHILD FOR INDECENT PURPOSES","4.0"
"EXPLOITATION/CHILD","4.3"
"FONDLING","5.1"
"FONDLING A CHILD","8.6"
"GRATIFICATION/LUST","8.1"
"KIDNAP MINOR","9.3"
"RAPE","28.8"
"SEX ASSAULT","27.5"
"SEXUAL BATTERY","9.2"
"STATUTORY RAPE","7.3"
"UNLAWFUL TOUCHING/CHILD","7.4"
"UNNATURAL INTERCOURSE","2.0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","4.3"
"INCEST","5.5"
"SEXUAL ABUSE - VULNERABLE ADULT","4.3"
"PROCURING SEXUAL SERVITUDE OF A MINOR","7.0"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","5.0"
