"Race","Male","Female","Total","Percent"
"White","159","14","173","49.01%"
"Black","170","5","175","49.58%"
"Hispanic","3","0","3","0.85%"
"Other","2","0","2","0.57%"
"Total","334","19","353","100.00%"
