"Offense","Male","Female","Total","Percent"
"Drug Intent","584","82","666","18.55%"
"Possession of Drugs","1217","216","1433","39.92%"
"Sale of Drugs","1354","131","1485","41.36%"
"Violent","6","0","6","0.17%"
"Total","3155","429","3590","100.00%"
