"AGE","MALE","FEMALE","TOTAL","PERCENT"
"16","3","0","3","0.03%"
"17","5","0","5","0.06%"
"18-19","43","3","46","0.51%"
"20-29","2679","283","2962","32.60%"
"30-39","2949","418","3367","37.06%"
"40-49","1461","200","1661","18.28%"
"50-59","733","75","808","8.89%"
"60-69","183","13","196","2.16%"
"70-79","27","1","28","0.31%"
"80+","9","1","10","0.11%"
"TOTAL","8,092","994","9,086","100.00%"
