"Offense","Male","Female","Total","Percent"
"DRUG","3,161","429","3,590","39.51%"
"NON-VIOLENT","2,768","395","3,163","34.81%"
"SEX","334","19","353","3.89%"
"VIOLENT","1,829","151","1,980","21.79%"
"Total","8,092","994","9,086","100.00%"
