"Age","Male","Female","Total","Percent"
"50-59","733","75","808","78.14%"
"60-69","183","13","196","18.96%"
"70-79","27","1","28","2.71%"
"Over 80","1","1","2","0.19%"
"Total","944","90","1,034","100.00%"
