"Race","Male","Female","Total","Percent"
"White","0","0","0","0.00%"
"Black","8","0","8","100.00%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Total","8","0","8","100.00%"
