"OFFENSE","Average Age at Time of Sentence"
"CAPITAL RAPE","39"
"CHILD ENDANGERMENT","32"
"CHILD MOLESTATION","40"
"CHILD PORNOGRAPHY","41"
"ENTICE CHILD FOR INDECENT PURPOSES","38"
"EXPLOITATION/CHILD","37"
"FONDLING","44"
"FONDLING A CHILD","36"
"GRATIFICATION/LUST","40"
"KIDNAP MINOR","34"
"RAPE","30"
"SEX ASSAULT","35"
"SEXUAL BATTERY","34"
"STATUTORY RAPE","30"
"UNLAWFUL TOUCHING/CHILD","40"
"UNNATURAL INTERCOURSE","57"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","36"
"INCEST","33"
"SEXUAL ABUSE - VULNERABLE ADULT","55"
"PROCURING SEXUAL SERVITUDE OF A MINOR","24"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","22"
