"Race","Male","Female","Total","Percent"
"White","1202","320","1522","42.40%"
"Black","1925","104","2029","56.52%"
"Hispanic","24","4","28","0.78%"
"Other","10","1","11","0.31%"
"Total","3161","429","3590","100.00%"
