"Offense","Black","White","Hispanic","Other","Total"
"DRUG","189","126","3","1","319"
"NON-VIOLENT","194","166","1","0","361"
"SEX","41","53","3","0","97"
"VIOLENT","104","62","1","0","167"
"Total","528","407","8","1","944"
