"","Authorized Positions","Filled Positions"
"Central Mississippi Correctional Facility","754","660"
"Mississippi State Penitentiary","907","821"
"South Mississippi Correctional Institution","522","384"
"TOTAL STATE PRISONS","2,183","1,865"
