"","PROB/PAROLE","HOUSE
ARREST","PRIVATES","REGIONALS","RESTITUTION
CENTERS","TOTALS"
"","11,386,540","624,150","1,499,015","1,549,913","90,333",""
"","31,196","1,710","4,107","4,246","247","19,700"
"","$16,928,120","$5,745,313","$ 83,405,374","$63,063,500","$2,986,073",""
"","","","$73,147,295","","",""
"","$1.49","$9.21","$55.64","$40.69","$33.06","$358,145,231"
"","","","$48.80","","",""
