"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,845","27.67%"
"Central Mississippi Correctional Facility","3,665","3,680","26.48%"
"South Mississippi Correctional Institution","3,204","3,097","22.29%"
"County Jails - Approved*","1,790","1,256","9.04%"
"County Jails - Unapproved**","0","198","1.42%"
"Community Work Centers","1,848","1,819","13.09%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,942","13,895","100.00%"
"Bolivar County Correctional Facility","294","293","9.52%"
"Carroll County Correctional Facility","280","280","9.10%"
"George County Correctional Facility","280","279","9.07%"
"Holmes County Correctional Facility","280","279","9.07%"
"Issaquena County Correctional Facility","274","271","8.81%"
"Jefferson County Correctional Facility","280","278","9.03%"
"Kemper County Correctional Facility","280","279","9.07%"
"Leake County Correctional Facility","280","279","9.07%"
"Marion County Correctional Facility","280","278","9.03%"
"Stone County Correctional Facility","280","281","9.13%"
"Winston County Correctional Facility","280","280","9.10%"
"TOTAL REGIONAL FACILITIES","3,088","3,077","100.00%"
"Delta Correctional Facility","972","972","17.52%"
"East MS Correctional Facility","1,500","1,363","24.56%"
"Marshall County Correctional Facility","1,000","997","17.97%"
"Walnut Grove Correctional Facility","1,500","1,229","22.15%"
"Wilkinson County Correctional Facility","1,000","988","17.81%"
"TOTAL PRIVATE PRISONS","5,972","5,549","100.00%"
"Community Trusties","01
6","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","124","0.47%"
"Court Order","0","366","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,018","23,029","86.81%"
"Intensive Supervision Program","0","1,225","4.62%"
"Earned Release Supervision Program","00","1,855","6.99%"
"Medical Release","0","37","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","3,117","11.75%"
"Other Custody","0","322","1.21%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","56","0.21%"
"TOTAL","24,018","26,528","100.00%"
