"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,269","15.44%"
"Central Mississippi Correctional Facility","3,750","3,722","17.58%"
"South Mississippi Correctional Institution","3,082","3,056","14.43%"
"Youthful Offender Facility","58","35","0.17%"
"County Jails - Approved","1,781","745","3.52%"
"County Jails - Unapproved","0","372","1.76%"
"Community Work Centers","1,154","664","3.14%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,863","56.03%"
"Alcorn County Correctional Facility","300","239","1.13%"
"Bolivar County Correctional Facility","369","293","1.38%"
"Carroll County Correctional Facility","280","268","1.27%"
"Chickasaw County Correctional Facility","310","238","1.12%"
"George County Correctional Facility","280","196","0.93%"
"Holmes County Correctional Facility","280","199","0.94%"
"Issaquena County Correctional Facility","274","267","1.26%"
"Jefferson County Correctional Facility","280","269","1.27%"
"Kemper County Correctional Facility","355","252","1.19%"
"Leake County Correctional Facility","280","266","1.26%"
"Marion County Correctional Facility","280","270","1.28%"
"Stone County Correctional Facility","326","224","1.06%"
"Washington County Correctional Facility","300","192","0.91%"
"Winston County Correctional Facility","280","264","1.25%"
"Yazoo County Correctional Facility","300","239","1.13%"
"TOTAL REGIONAL FACILITIES","4,494","3,676","17.36%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,272","6.01%"
"Marshall County Correctional Facility","1,000","995","4.70%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","925","4.37%"
"TOTAL PRIVATE PRISONS","5,972","3,192","15.08%"
