"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,527","4,181","29.04%"
"Central Mississippi Correctional Facility","3,665","3,610","25.07%"
"South Mississippi Correctional Institution","3,204","3,106","21.57%"
"County Jails - Approved*","1,704","1,471","10.22%"
"County Jails - Unapproved**","0","251","1.74%"
"Community Work Centers","1,848","1,780","12.36%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,948","14,399","100.00%"
"Bolivar County Correctional Facility","294","296","9.61%"
"Carroll County Correctional Facility","280","280","9.09%"
"George County Correctional Facility","280","279","9.06%"
"Holmes County Correctional Facility","280","280","9.09%"
"Issaquena County Correctional Facility","274","273","8.86%"
"Jefferson County Correctional Facility","280","279","9.06%"
"Kemper County Correctional Facility","280","279","9.06%"
"Leake County Correctional Facility","280","280","9.09%"
"Marion County Correctional Facility","280","276","8.96%"
"Stone County Correctional Facility","280","280","9.09%"
"Winston County Correctional Facility","280","279","9.06%"
"TOTAL REGIONAL FACILITIES","3,088","3,081","100.00%"
"Delta Correctional Facility","972","967","19.98%"
"East MS Correctional Facility","1,000","896","18.51%"
"Marshall County Correctional Facility","1,000","998","20.62%"
"Walnut Grove Correctional Facility","1,000","999","20.64%"
"Wilkinson County Correctional Facility","1,000","980","20.25%"
"TOTAL PRIVATE PRISONS","4,972","4,840","100.00%"
"Community Trusties","022","16","0.06%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","120","0.46%"
"Court Order","0","373","1.42%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,030","22,829","86.89%"
"Intensive Supervision Program","0","1,202","4.57%"
"Earned Release Supervision Program","00","1,832","6.97%"
"Medical Release","0","35","0.13%"
"TOTAL COMMUNITY CORRECTIONS","00","3,069","11.68%"
"Other Custody","0","314","1.20%"
"Off-Grounds Medical (Hospital)","0","3","0.01%"
"At Large (Escapees & Walk-Aways)","0","59","0.22%"
"TOTAL","23,030","26,274","100.00%"
