"CENTRAL MISSISSIPPI CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education (Literacy, ABE, GED)","200","N/A"
"Business Technology","15","1,500 Hours"
"Cosmetologist","20","1,500 Hours"
"Balancing Work And Family","15","750 Hours"
"Clothing Apparel & Textile Workers","15","1,200 Hours"
"Upholsterer","20","1,200 Hours"
