"CARROLL/MONTGOMERY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program"
"GED","12","25 Weeks"
"ABE","9","25 Weeks"
"Discipleship","11","8 Weeks"
"English Literacy","10","25 Weeks"
"Vocational Education","10","8 Weeks"
