"Offense","Black","White","Hispanic","Other","Total"
"Drug Intent","223","279","10","3","515"
"Possession of Drugs","548","517","15","7","1,087"
"Sale of Drugs","517","227","3","2","749"
"Total","1,288","1,023","28","12","2,351"
