"Offense","Black","White","Hispanic","Other","Total"
"DRUG","83","106","1","0","190"
"NON-VIOLENT","131","146","0","0","277"
"SEX","24","33","2","0","59"
"VIOLENT","58","52","1","0","111"
"Total","296","337","4","0","637"
