"Offense","Male","Female","Total","Percent"
"DRUG","2,351","388","2,739","33.80%"
"NON-VIOLENT","2,572","370","2,942","36.30%"
"SEX","334","14","348","4.29%"
"VIOLENT","1,912","163","2,075","25.60%"
"Total","7,169","935","8,104","100.00%"
